#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	SRR5665187	SRR5665186	SRR5665185	SRR5665184	SRR5665183	SRR5665182	SRR5665181	SRR5665180	SRR5665179	SRR5665178	SRR5665177	SRR5665176	SRR5665174	SRR5665173	SRR5665172	SRR5665171	SRR5665170	SRR5665169	SRR5665168	SRR5665167	SRR5665164	SRR5665163	SRR5665162	SRR5665161	SRR5665160	SRR5665159	SRR5665158	SRR5665157	SRR5665156	SRR5665155	SRR5665154	SRR5665153	SRR5665152	SRR5665151	SRR5665150	SRR5665149	SRR5665148	SRR5665147	SRR5665146	SRR5665145	SRR5665144	SRR5665133	SRR5665132	SRR5665131	SRR5665130	SRR5665129	SRR5665128	SRR5665127	SRR5665126	SRR5665125	SRR5665124	SRR5665122	SRR5665113	SRR5665112	SRR5665111	SRR5665110	SRR5665109	SRR5665108	SRR5665107	SRR5665106	SRR5665105	SRR5665104	SRR5665103	SRR5665092	SRR5665083	SRR5665082	SRR5665071	SRR5665070	SRR5665069	SRR5665068	SRR5665067	SRR5665066	SRR5665065	SRR5665064	SRR5665063	SRR5665062	SRR5665061	SRR5665060	SRR5665059	SRR5665058	SRR5665057	SRR5665056	SRR5665055	SRR5665054	SRR5665053	SRR5665052	SRR5665051	SRR5665050	SRR5665049	SRR5665048	SRR5665047	SRR5665046	SRR5665045	SRR5665044	SRR5665043	SRR5665042	SRR5665041	SRR5665040	SRR5665039	SRR5665038	SRR5665037	SRR5665035	SRR5665034	SRR5665033	SRR5665032	SRR5665031	SRR5665030	SRR5665029	SRR5665028	SRR5665027	SRR5665026	SRR5665025	SRR5665024
UNKNOWN	-1.0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	100.0	0	100.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0.0	0	100.0	0	0	0	0.0	0	0	100.0	0	100.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	100.0	0.0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0	0
g__Absiella	2057233.0	0	0	0	0	0	0	0	0	0.00626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04033	0	0	0	0	0
g__Achromobacter	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.59043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acidaminococcus	904.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinobaculum	76833.0	0	0	0	0	0	0.05247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinomyces	1654.0	0.01146	0	0	0	0.00994	0.01517	0	0.10665	0.00905	0	0	0	0	0	0	0	0	0	0	0	0.06681	0.08059	0	0	0	0	0.13622	0	0	0.34164	0	0	0	0	0	0	0	0	0	0	0.1127	0	0	0	0	0	0	0	0	0	0	0.26086	0	0	0	0	0	0	0	0	0	0	0.00938	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01364	0	0	0	0	0.03017	0.2264	0.44905	0	0	0	0	0.01905	0	0	0	0.02524	0	0	0	0	0	0	0	0	0.04651	0	0	0	0	0	0	0	0	0	0	0
g__Adlercreutzia	447020.0	0.34728	1.53359	0.17698	0.14675	0.44913	0	0	0.23666	0.17624	0	0	0	0	0	0	0	0	0	0	0	0.03337	0.73736	0.01888	0	0	1.21248	0.16578	0	0.04257	0	0	0	0	0	0	0	0	0	0	0	0.16976	0	0	0	0	0	0	0	0	0	0	0.01492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19613	0.58566	0.03327	0	0.08183	0.21747	0	0.05612	0.08883	0	0	0.55662	0	0	0.46962	0.9898	0.44169	0.00942	0.3692	0	0	0	0	0.25298	0.27862	0.1107	0	0	0.03498	0	0.64123	0.27164	0.02549	0.02723	0
g__Agathobaculum	2048137.0	0.02969	0.19617	0.52693	0.20765	0.50586	0	0.06982	1.85027	0.23506	4.57835	0	0	0	0	0	0	0	0	0	0	0.14271	0.34041	0.03718	0	0	0.48598	0	0.4966	0	0	0	0	0	0	0	0	0	0	0	0	1.09602	0	0	0	0	0	0	0	0	0	0	0.05542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05725	0	0.41498	0.89308	0	0	0	0.14568	0	0	0.37851	0.29391	0.08665	0	0.30039	0.03318	0.66085	0.2136	0.17714	0.32273	0	0	0	0	0	0.80191	1.54786	0.52931	0	0	0.44	0	0.23927	0.51722	0.00584	0.0551	0
g__Akkermansia	239934.0	0.11547	6.55107	0	5.73845	0	0.02141	62.85967	0.18776	0	0	0	0	0	0	0	0	0	0	0	0	0	19.12087	0	67.39042	0	4.54651	0	24.94748	3.13533	0	0	0	0	0	0	0	0	23.36089	0	0	1.30898	0	0	0	0	0	0	0	0	0	0	1.76014	0	0	0	2.41558	0	0	0	0	0	0	0.06527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.20386	0	0	14.29754	20.18115	0.25944	0	0	0	4.90382	0	5.0903	0	0.21062	15.36805	64.36599	0.05155	0	0	0	0	1.26304	0	0	0	0	35.64838	0.20752	0	0.08374	0.02951	0	0
g__Alistipes	239759.0	7.91766	0.12586	2.02676	0.51627	0	0.05335	0.02661	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82243	1.51875	0.14382	0	0	0.20103	0.04459	0.29175	2.44469	0	0	0	0	0	28.73069	0	0	0	0	0	0.03616	0	0	10.34223	0	0	0	0	0	0	0	0.03795	0	0	0	0	0	0	0	0	0	0	0	0	2.35337	0	0	0	18.55379	0	0	0	0	1.64703	0	0	0.22769	0	0	0	1.21992	0	14.08765	0.23965	0	0.24558	0.55689	4.23044	0	0	0.08978	0	0	0.63077	0	0	0.64217	0	0	10.47244	0	0	0.20502	0.09507	0	0	0.56319	0	0	0.07599	1.09534	3.16429	0
g__Anaeromassilibacillus	1924093.0	0.26505	0	0	0.01264	0	0	0	0	0	0	0	0	0	0	0	0	0.49342	0	0	0	0	0.02437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06072	0	0	0	0	0.02688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0798	0.04385	0	0
