feature	g__Acidaminococcus	g__Actinomyces	g__Adlercreutzia	g__Aeriscardovia	g__Agathobaculum	g__Aggregatibacter	g__Akkermansia	g__Alistipes	g__Allisonella	g__Anaeromassilibacillus	g__Anaerostipes	g__Anaerotignum	g__Anaerotruncus	g__Asaccharobacter	g__Atopobium	g__Bacteroides	g__Barnesiella	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Butyricimonas	g__Catabacter	g__Christensenella	g__Citrobacter	g__Cloacibacillus	g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	g__Clostridiales_unclassified	g__Clostridium	g__Collinsella	g__Coprobacillus	g__Coprobacter	g__Coprococcus	g__Denitrobacterium	g__Desulfovibrio	g__Dialister	g__Dielma	g__Dorea	g__Eggerthella	g__Eisenbergiella	g__Enorma	g__Enterobacter	g__Enterococcus	g__Enterorhabdus	g__Erysipelatoclostridium	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Faecalitalea	g__Firmicutes_unclassified	g__Flavonifractor	g__Fretibacterium	g__Fusicatenibacter	g__Fusobacterium	g__Gemella	g__Gemmiger	g__Gordonibacter	g__Granulicatella	g__Haemophilus	g__Harryflintia	g__Holdemanella	g__Holdemania	g__Hungatella	g__Intestinibacter	g__Intestinimonas	g__Klebsiella	g__Lachnoclostridium	g__Lachnospira	g__Lachnospiraceae_unclassified	g__Lactobacillus	g__Lactococcus	g__Lactonifactor	g__Lawsonibacter	g__Megamonas	g__Megasphaera	g__Methanobrevibacter	g__Mogibacterium	g__Odoribacter	g__Olsenella	g__Oribacterium	g__Oscillibacter	g__Oxalobacter	g__Parabacteroides	g__Paraprevotella	g__Parasutterella	g__Parvimonas	g__Peptostreptococcus	g__Phascolarctobacterium	g__Porphyromonas	g__Prevotella	g__Proteobacteria_unclassified	g__Pseudoflavonifractor	g__Pyramidobacter	g__Romboutsia	g__Roseburia	g__Rothia	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Scardovia	g__Sellimonas	g__Slackia	g__Solobacterium	g__Streptococcus	g__Sutterella	g__Turicibacter	g__Turicimonas	g__Tyzzerella	g__Veillonella	g__Weissella
ERR1018312	0	0.10302	0	0	1.07227	0	0.03509	0.34951	0	0	0.31717	0	0.26116	0.00018	0	8.83849	0.10845	8.24277	0.5409	4.15813	0.22679	0.01277	0.00266	0	0.22421	0.00785	0.00879	0.00158	11.70514	0	0	0.00269	0.00059	0	0.03905	0	7.10039	0.42746	0.15131	0.02976	0	0.67184	0.00135	0.37744	38.0426	0.16322	0.03656	0	0	0.0445	0	0	0.84492	0.06729	0	0.06214	0	0	0	0	0.09968	0.03012	0	0	3.67566	2.57187	0	0.00041	0.59281	0	0.00398	0	0	0	0	0.13572	0.02438	0.00077	0.00057	0	0.02866	0.47988	0	0	0.10148	0.19566	3.99868	0	0	0	0	0	0	0.30744	0	0.00629	0.0019	1.89074	0	0.04805	0.00065	0.14301	0.52779	0.0932	0	0	0	0.01608	0
ERR1018311	0	0.00107	0.17674	0	1.69074	0	0	4.76769	0	0	0.95273	0	0	0.05033	0	9.0185	0	0.07322	0.0804	5.31055	0.09071	0.0015	0.01519	0	0.0086	0.00518	0	0.19054	2.86113	0	0	10.89771	0	0	2.19981	0	2.82377	0.04161	0.00566	0.01152	0	0	0.00312	0.00017	0.08416	22.16345	8.97946	0	0.76319	0.05235	0.00054	1.68701	0.10524	0.01588	0.37685	0.01096	0	0	0	0	0.03075	0.0401	0	0.01995	0.0046	0.02959	0	3.08941	0	0	0	0.00984	0	0	0	0	0.06702	0	0	0.55281	0	0.86556	0	0	0	0	0.04296	0	1.88046	0	0	0	0	5.6444	0.00152	0.2149	11.13974	0.10933	0	0	0	0	0.64321	0	0	0	0	0	0
ERR1018310	1.53152	0	0.01214	0	0.09017	0	0	0.3512	0.00346	0	0.01721	0	0.00257	0.0132	0	12.43207	0.01722	1.64458	0.04126	0.20181	0.19585	0.00879	0.03237	0	0.0146	0	0.09089	1.01884	1.03553	0	0.08418	0.29422	0	0.2778	16.25889	0.02913	0.3536	0	0.11567	0.01079	0	0.00196	0	0.00931	0.15783	19.17352	4.46307	0	1.81336	0.24521	0.00121	0.1526	0.00469	0	0.09757	0	0	0.00386	0	0	0.00503	0.04705	0.00322	0.01589	0.1307	0.17725	0	2.63924	0.60892	0	0	0.00364	0.35068	0.18718	0	0	0.15444	0	0	0.15918	0.22627	0.92997	0	0	0	0	0.00184	0	24.21728	0	0	0	0	1.58586	0.00427	0.08041	2.58724	2.28155	0	0	0.00067	0	0.02329	0.00385	0	0	0	0.011	0
ERR1018309	0	0.04576	0.12617	0	0.95695	0	1.63227	0.13652	0.00393	0.10762	0.4901	0.22141	0.02558	0.05443	0	0.89001	0.01763	0.53568	0	12.47916	0	0.07418	0.00284	0	0.00848	0.01676	0	0.3054	12.49611	0.05834	0	0	0.00331	0.04018	0.00514	0	0.54641	0.09316	0	0.10638	0	0.00059	0.01698	0.25593	3.42632	3.1552	5.27982	0	6.2125	0.03644	0	0.18942	0	0.03827	0.0046	0.03182	0	0	0.01968	0	0	0.02592	0	0	0	0.04413	0.23286	2.36206	0	0	0.01187	0.00117	0	0	0	0.00644	0	0.01411	0	0.04639	0	0.0697	0	0	0	0	0	0	0.93408	0	0	0	0.00037	2.29173	0.0016	0.18493	38.19094	0.76657	0	3.58896	0.00459	0.00151	0.92986	0	0	0	0.12362	0	0
ERR1018308	0	0	0.1846	0	4.11494	0	0.13405	2.85976	0	0	8.75128	0	0	0.07226	0	5.20472	0.20709	0	0.03173	4.14288	0.02173	0.01457	0	0	0	0	0	0	1.49652	0	0	2.43258	0	0.36474	0	0	3.99955	0.00868	0	0.00374	0	0	0.00514	0	0.06361	7.89008	8.2724	0	0.37896	0.00454	0	5.54933	0	0.00856	0.41693	0.04959	0	0.00442	0	0	0.04537	0	0	0	0	0.00618	0	21.69202	0	0	0	0	0	0	0	0	0.01361	0	0	0.47232	0	0.104	0	0	0	0	0.81075	0	3.57543	0	0	0	0	4.02512	0.01461	0.03422	11.85048	0.05353	0	0	0	0	0.16611	0.01896	0	0	0	0	0.00618
ERR1018307	1.27913	0.03029	0.09123	0.00138	1.34531	0	0.02409	0.00555	0	0	0.15706	0	0	0.0285	0	0.05522	0	6.15244	0.13901	11.82132	0	0	0	0	0.02101	0.00595	0	1.22238	9.69219	0	0	1.59253	0	0.14082	0.0044	0	5.48387	0.07208	0.00032	0.03221	0	0.03564	0.0033	0.03115	40.13928	4.06727	2.44876	0	0.12656	0.1225	0	1.67529	0	0.06145	0.62847	0.01618	0.00108	0	0	0.50679	0.05296	0	0.05889	0	0	0.04577	0.04744	0.15598	0	0.00397	0	0	0.26725	0.11216	0.07211	0	0	0.01491	0	0.0011	0	0.00199	0	0	0.00815	0.01127	2.14152	0.00063	0.15163	0	0	0	0.00072	3.16205	0.0074	0.07124	3.64096	0.05989	0	0	0.50947	0	0.12902	0	0.003	0	0	0	0
ERR1018306	0	0.00446	0.02196	0	0.52236	0.00375	0	0.13386	0	0	0.77623	2.12718	0	0.00685	0	11.20373	0	2.52728	0	1.19735	0.05212	0	0	0.16552	0	0	0.00428	1.84388	0.84536	0	0	0.42553	0	0.25124	8.71444	0	0.57949	0.00708	0.00569	0.00218	0	0.00963	0	0.00289	0.03639	1.22363	3.10929	0	0	2.34792	0	0.44159	0.094	0.01642	0.00157	0.00794	0	0	0	0	0.04394	0.03409	0	0	0	0.08352	2.08233	1.98418	0	0	0	0.01792	0	0	0	0	0.08453	0	0	0	0	0.54732	0	0	0.01117	0	0.75524	0	51.63045	0	0	0	0	2.2795	0	0.23677	0.69002	0.61447	0	0	0	0.003	0.1126	0	0	0	0	0.06762	0
ERR1018305	0	0.00668	0.03557	0	0.40001	0	0	9.96898	0.00593	0	0.22712	0	0.00119	0.01307	0	24.03089	0.84982	2.35824	0.15034	2.19985	0.1654	0.00529	0.00813	0.06371	0	0	0	0.01338	0.78887	0	0.00832	4.79073	0	0	0	0	1.07858	0.11362	0	0.00291	0.04522	0	0.00081	0.00511	7.65869	0.79004	10.76331	0.00224	0.35541	0.23731	0	0.6112	0.10135	0.00757	0.50647	0.05215	0	0.45778	0	0.26333	0.20329	0.03686	0.14983	0	1.46411	0.09413	0.0322	6.9419	0.00132	0	0	0	0.29134	0	0.00707	0	0.12775	0.00075	0.00042	0.04033	0	4.60504	0	0.03305	0	0	1.76022	0	6.03747	0.01265	0	0	0	2.98353	0.03563	0.02053	4.98821	0.12296	0	0.27494	0	0	0.48172	0	0	0.00502	0.00151	0.06575	0
ERR1018304	1.71711	0	0	0	0.04985	0	0.2442	0	0	0	0.00218	0.00074	0.043	0	0	28.18506	0	3.40921	0.11468	6.56479	0	0.02337	0	0	0	0	0	1.84047	0.78985	0	0	0	0	0	0.00126	0.0123	0	0.1377	0	0.00754	0.24047	0.19602	0	0.78233	4.52637	3.94468	0.02903	0	0.00762	1.32732	0	0	0.06323	0.00825	0	0.0132	0	0.00312	0	0	0	0.03434	0.12766	0	3.18488	1.1762	0	0.03536	0.03034	0	0	0	4.63852	0.93795	0	0	0.06924	0	0.00117	0	0	0.60594	0.00674	0	0.00331	0.00284	1.86923	0	0.00526	0	0	0	0.00359	14.00245	0.00731	0	11.32398	0.29268	0	0.0264	0	0	0.5724	0	0	0	0.20713	6.49547	0
ERR1018303	0	0	0	0	1.12847	0	0	0.13717	0	0	0.76182	0	0.0207	0	0	34.2262	0	0.00221	0.05876	2.27137	0.33852	0	0	0	0	0	0	0.01956	0.15002	0	0	0.85635	0	0.19541	0.43872	0.00393	0.63059	0.07542	0	0.00035	0	0	0	0.07786	0.34553	3.86726	12.75359	0	4.19558	0.07226	0	0.72208	0.78869	0.36665	0.8776	0.01252	0	0.30023	0	0	0.01597	0.0141	0	0.00362	0.01288	0.20375	0	10.49131	0.25441	0	0	0.01076	0.55203	0	0	0	0	0	0	0.85878	0	1.04766	4.917	0	1.0399	0.69363	4.16285	0	0.43676	0	0	0	0	3.95669	0.11779	0.00334	3.7188	0.09865	0	0	0	0.21972	1.08675	0.00231	0	0	0	0.35674	0
