feature	g__Acidaminococcus	g__Actinomyces	g__Adlercreutzia	g__Aeriscardovia	g__Agathobaculum	g__Aggregatibacter	g__Akkermansia	g__Alistipes	g__Allisonella	g__Anaeromassilibacillus	g__Anaerostipes	g__Anaerotignum	g__Anaerotruncus	g__Asaccharobacter	g__Atopobium	g__Bacteroides	g__Barnesiella	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Butyricimonas	g__Catabacter	g__Christensenella	g__Citrobacter	g__Cloacibacillus	g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	g__Clostridiales_unclassified	g__Clostridium	g__Collinsella	g__Coprobacillus	g__Coprobacter	g__Coprococcus	g__Denitrobacterium	g__Desulfovibrio	g__Dialister	g__Dielma	g__Dorea	g__Eggerthella	g__Eisenbergiella	g__Enorma	g__Enterobacter	g__Enterococcus	g__Enterorhabdus	g__Erysipelatoclostridium	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Faecalitalea	g__Firmicutes_unclassified	g__Flavonifractor	g__Fretibacterium	g__Fusicatenibacter	g__Fusobacterium	g__Gemella	g__Gemmiger	g__Gordonibacter	g__Granulicatella	g__Haemophilus	g__Harryflintia	g__Holdemanella	g__Holdemania	g__Hungatella	g__Intestinibacter	g__Intestinimonas	g__Klebsiella	g__Lachnoclostridium	g__Lachnospira	g__Lachnospiraceae_unclassified	g__Lactobacillus	g__Lactococcus	g__Lactonifactor	g__Lawsonibacter	g__Megamonas	g__Megasphaera	g__Methanobrevibacter	g__Mogibacterium	g__Odoribacter	g__Olsenella	g__Oribacterium	g__Oscillibacter	g__Oxalobacter	g__Parabacteroides	g__Paraprevotella	g__Parasutterella	g__Parvimonas	g__Peptostreptococcus	g__Phascolarctobacterium	g__Porphyromonas	g__Prevotella	g__Proteobacteria_unclassified	g__Pseudoflavonifractor	g__Pyramidobacter	g__Romboutsia	g__Roseburia	g__Rothia	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Scardovia	g__Sellimonas	g__Slackia	g__Solobacterium	g__Streptococcus	g__Sutterella	g__Turicibacter	g__Turicimonas	g__Tyzzerella	g__Veillonella	g__Weissella
ERR1018312	-12.9092007562957	-3.27900364971352	-12.9657842846621	-11.4598933549321	0.100668225399186	-10.8282807609122	-4.83279624203464	-1.51659436104912	-9.86817348803566	-13.6096404744368	-1.65667177686582	-11.4001871088079	-1.93699414831219	-12.4397154729945	-12.3617129609932	3.14379991536444	-3.20489804187718	3.04312923955794	-0.886566197395951	2.05593486339674	-2.14057106690207	-6.29109766473409	-8.55435803893562	-11.4198159155568	-2.15707746960452	-6.99309163065782	-6.82992111929341	-9.30585972625971	3.54907028487747	-11.0704816633288	-9.22593618196276	-8.53817811188019	-10.726997425075	-11.9949306303216	-4.67853364140747	-12.6096404744368	2.82789826906991	-1.22613867021417	-2.72442075720936	-5.07048166332878	-11.4397154729945	-0.573810401601795	-9.53282487738598	-1.40568077119735	5.24954394463271	-2.6151102475476	-4.77359011937874	-12.6554441640499	-9.91615351693749	-4.49005085369569	-11.8547529722733	-8.7178567712185	-0.243113346471329	-3.89346406862938	-14.6096404744368	-4.00833394831497	-13.6096404744368	-11.5872726614084	-12.0860785183798	-12.9092007562957	-3.32655212141281	-5.05313441976488	-11.3808217839409	-13.7027498788283	1.87800332293824	1.36281772077812	-11.1339070434704	-11.2520884698187	-0.754358310488006	-12.2520884698187	-7.97301585389316	-13.3617129609932	-12.6096404744368	-12.7027498788283	-10.6907772371622	-2.88129475972584	-5.3581580638166	-10.3428539337419	-10.7767504602721	-10.8414561496599	-5.12481758017467	-1.05925440790553	-8.21303569325495	-12.5652463550784	-3.30073267037287	-2.35357924796719	1.99952383206448	-11.6323605509369	-14.0246779737157	-12.6096404744368	-12.4803574574918	-10.1177873781071	-12.6096404744368	-1.70162321337401	-14.2877123795494	-7.31272426755752	-9.03978486610586	0.918950988618225	-11.726997425075	-4.3793197587757	-10.5872726614084	-2.80581206364598	-0.921964078605677	-3.42352623489517	-11.9372151324653	-10.4397154729945	-11.0097276322497	-5.95858878325788	-13.0246779737157
ERR1018311	-12.9092007562957	-9.86817348803566	-2.50029950564359	-11.4598933549321	0.757654820865327	-10.8282807609122	-12.4001871088079	2.25329043336672	-9.86817348803566	-13.6096404744368	-0.0698606770282665	-11.4001871088079	-11.4198159155568	-4.31243759193991	-12.3617129609932	3.17288749750302	-10.0397848661059	-3.77161841613227	-3.63666068837052	2.40886128498077	-3.46259458549109	-9.38082178394093	-6.04073431993473	-11.4198159155568	-6.86144762484735	-7.59283218675026	-9.72089722553855	-2.39183420087521	1.51658505029809	-11.0704816633288	-9.22593618196276	3.44595309972995	-12.5652463550784	-11.9949306303216	1.13737892197943	-12.6096404744368	1.49762258387374	-4.58692590139205	-7.46498223160493	-6.4397154729945	-11.4397154729945	-12.9657842846621	-8.32423825557456	-12.5221776331865	-3.57072148514451	4.47011056609773	3.16662868786768	-12.6554441640499	-0.38988582690469	-4.25566665261864	-10.8547529722733	0.754468525437956	-3.24824494127092	-5.97664527729385	-1.40793770221252	-6.51160839147629	-13.6096404744368	-11.5872726614084	-12.0860785183798	-12.9092007562957	-5.02326977932285	-4.64025395309453	-11.3808217839409	-5.6474674433271	-7.76415042349244	-5.07874649324289	-11.1339070434704	1.62733134578436	-13.8022855523792	-12.2520884698187	-14.0246779737157	-6.66712596909757	-12.6096404744368	-12.7027498788283	-10.6907772371622	-12.6096404744368	-3.89926450323234	-13.5221776331865	-13.7027498788283	-0.85514438144064	-9.84145614965989	-0.208294265240929	-8.21303569325495	-12.5652463550784	-13.4397154729945	-13.0860785183798	-4.5408621964514	-11.6323605509369	0.911085618574234	-12.6096404744368	-12.4803574574918	-10.1177873781071	-12.6096404744368	2.4968202305943	-9.36171296099323	-2.21826261212167	3.47764365565436	-3.19323876604058	-11.726997425075	-10.6789031368739	-12.5221776331865	-13.3617129609932	-0.636638258584668	-11.6096404744368	-11.9372151324653	-10.4397154729945	-11.0097276322497	-10.7894615120216	-13.0246779737157
ERR1018310	0.614964207101687	-14.4397154729945	-6.36408776818113	-11.4598933549321	-3.47120866815996	-10.8282807609122	-12.4001871088079	-1.50963525001409	-8.17501224680009	-13.6096404744368	-5.86060909239661	-11.4001871088079	-8.60401592524293	-6.243318260191	-12.3617129609932	3.63599462700564	-5.85977104703997	0.71771918925939	-4.59911236855033	-2.3089304308843	-2.3521789665987	-6.82992111929341	-4.94919882422764	-11.4198159155568	-6.09788782066943	-11.5011160176586	-3.45973461641176	0.0269275065276574	0.0503693500087223	-11.0704816633288	-3.57037868009576	-1.76503277582656	-12.5652463550784	-1.84788149556806	4.02315686237669	-5.10135048829646	-1.49980982015802	-11.4803574574918	-3.11191335717809	-6.5341613249488	-11.4397154729945	-8.9949306303216	-14.4397154729945	-6.74700311687802	-2.66355663898087	4.26104331558476	2.15803643438741	-12.6554441640499	0.858665366702002	-2.02791027957714	-9.69077723716222	-2.71217313271492	-7.73619636192144	-12.1177873781071	-3.35741856149845	-11.8282807609122	-13.6096404744368	-8.01718343716873	-12.0860785183798	-12.9092007562957	-7.63522588463128	-4.40966146682091	-8.27872359632219	-5.97573706508829	-2.93566895375402	-2.49614246742257	-11.1339070434704	1.40012254849151	-0.715675395794504	-12.2520884698187	-14.0246779737157	-8.10184583423812	-1.51177294180904	-2.41750180228585	-10.6907772371622	-12.6096404744368	-2.69488163549495	-13.5221776331865	-13.7027498788283	-2.65126901348696	-2.14388277727458	-0.104743917967037	-8.21303569325495	-12.5652463550784	-13.4397154729945	-13.0860785183798	-9.0860785183798	-11.6323605509369	4.59796493056885	-12.6096404744368	-12.4803574574918	-10.1177873781071	-12.6096404744368	0.665265415291098	-7.87154821481632	-3.63648125984708	1.37141388886992	1.19001427068544	-11.726997425075	-10.6789031368739	-10.543551283979	-13.3617129609932	-5.42414555022595	-8.02092583885455	-11.9372151324653	-10.4397154729945	-11.0097276322497	-6.50635266602479	-13.0246779737157
ERR1018309	-12.9092007562957	-4.44976913765842	-2.98655917978369	-11.4598933549321	-0.0634845480616498	-10.8282807609122	0.706879718732593	-2.87281577533795	-7.99125497217821	-3.21598188298204	-1.02885194813969	-2.17520771186181	-5.28883992555518	-4.19945415371172	-12.3617129609932	-0.168106548842755	-5.82582371511663	-0.900556661886468	-13.9092007562957	3.64144892134553	-11.9949306303216	-3.7528259219338	-8.45989335493213	-11.4198159155568	-6.88172001987361	-5.89883404073746	-9.72089722553855	-1.7112280327526	3.64340715320429	-4.09937080353863	-9.22593618196276	-9.53817811188019	-8.23895306762959	-4.63737862570352	-7.60401592524293	-12.6096404744368	-0.871944207858202	-3.42414555022595	-12.7516594793092	-3.23270115281697	-11.4397154729945	-10.726997425075	-5.88001973088377	-1.96617882553092	1.77665989773073	1.65773145682846	2.40048874595988	-12.6554441640499	2.63517394667492	-4.77833323063476	-11.8547529722733	-2.40033942840267	-11.726997425075	-4.70764228876832	-7.76415042349244	-4.97392235410576	-13.6096404744368	-11.5872726614084	-5.66712596909757	-12.9092007562957	-12.7516594793092	-5.26979047155219	-11.3808217839409	-13.7027498788283	-9.87493085421097	-4.50209644246083	-2.10246525593021	1.24004561189978	-13.8022855523792	-12.2520884698187	-6.39653625479491	-9.73927575485341	-12.6096404744368	-12.7027498788283	-10.6907772371622	-7.27872359632219	-10.543551283979	-6.14713820183955	-13.7027498788283	-4.43004234358698	-9.84145614965989	-3.84269753368103	-8.21303569325495	-12.5652463550784	-13.4397154729945	-13.0860785183798	-12.0246779737157	-11.6323605509369	-0.098381978934544	-12.6096404744368	-12.4803574574918	-10.1177873781071	-11.4001871088079	1.19643708309734	-9.28771237954945	-2.43494881205737	5.25515852457937	-0.38351055604729	-11.726997425075	1.84356584398898	-7.767290131023	-9.37123573511173	-0.104914574913837	-11.6096404744368	-11.9372151324653	-10.4397154729945	-3.01601592473074	-10.7894615120216	-13.0246779737157
ERR1018308	-12.9092007562957	-14.4397154729945	-2.43752554190368	-11.4598933549321	2.04087139484288	-10.8282807609122	-2.89915687556689	1.5158940766056	-9.86817348803566	-13.6096404744368	3.12949404718454	-11.4001871088079	-11.4198159155568	-3.79065893500437	-12.3617129609932	2.37982055248202	-2.27167020477041	-11.1339070434704	-4.97800866851917	2.05063403274479	-5.52416801525553	-6.1008553123723	-9.9802838543572	-11.4198159155568	-13.2877123795494	-11.5011160176586	-9.72089722553855	-11.4001871088079	0.581611559629873	-11.0704816633288	-9.22593618196276	1.2824872515451	-12.5652463550784	-1.45505967026901	-13.2173230516581	-12.6096404744368	1.99983768767766	-6.84808924199233	-12.7516594793092	-8.06274601454917	-11.4397154729945	-12.9657842846621	-7.60401592524293	-13.5221776331865	-3.97460260325356	2.98003992825117	3.04830594678247	-12.6554441640499	-1.39988251785542	-7.7830919871459	-11.8547529722733	2.47231359776423	-11.726997425075	-6.86817348803566	-1.26212291057013	-4.33380696442334	-13.6096404744368	-7.82173791504538	-12.0860785183798	-12.9092007562957	-4.46211753008607	-13.9092007562957	-11.3808217839409	-13.7027498788283	-9.87493085421097	-7.33817744653244	-11.1339070434704	4.43909250051574	-13.8022855523792	-12.2520884698187	-14.0246779737157	-13.3617129609932	-12.6096404744368	-12.7027498788283	-10.6907772371622	-12.6096404744368	-6.19918912293282	-13.5221776331865	-13.7027498788283	-1.08216346837642	-9.84145614965989	-3.26534456652099	-8.21303569325495	-12.5652463550784	-13.4397154729945	-13.0860785183798	-0.302670976206281	-11.6323605509369	1.83811675841194	-12.6096404744368	-12.4803574574918	-10.1177873781071	-12.6096404744368	2.00903179461216	-6.09690001163331	-4.8690164299474	3.56687359110751	-4.22350853712182	-11.726997425075	-10.6789031368739	-12.5221776331865	-13.3617129609932	-2.58978916718526	-5.72089722553855	-11.9372151324653	-10.4397154729945	-11.0097276322497	-10.7894615120216	-7.33817744653244
ERR1018307	0.355162895044002	-5.04501461164144	-3.45434787268486	-9.50111601765864	0.427938651540596	-10.8282807609122	-5.37542179619834	-7.49329651319934	-9.86817348803566	-13.6096404744368	-2.67061229267356	-11.4001871088079	-11.4198159155568	-5.13289427049735	-12.3617129609932	-4.17866530184874	-10.0397848661059	2.62115868326051	-2.84673942466175	3.56331923455909	-11.9949306303216	-10.8282807609122	-9.9802838543572	-11.4198159155568	-5.57278002776377	-7.39289461624151	-9.72089722553855	0.28969284398952	3.27682268681268	-11.0704816633288	-9.22593618196276	0.671320550154143	-12.5652463550784	-2.82807584719249	-7.82828076091215	-12.6096404744368	2.45519437115756	-3.79425717862327	-11.6096404744368	-4.956347529054	-11.4397154729945	-4.81035885291489	-8.243318260191	-5.00462402652545	5.32694283341785	2.02406076526074	1.29205138403792	-12.6554441640499	-2.98210658996402	-3.02914634565952	-11.8547529722733	0.744410853987086	-11.726997425075	-4.02444317917679	-0.670084215610259	-5.94964458200683	-9.85475297227334	-11.5872726614084	-12.0860785183798	-0.980540037442469	-4.23895306762959	-13.9092007562957	-4.08583351624948	-13.7027498788283	-9.87493085421097	-4.44945389783615	-4.39775217989081	-2.68056703856	-13.8022855523792	-7.97664527729385	-14.0246779737157	-13.3617129609932	-1.9037381469416	-3.15636984042619	-3.79365684778409	-12.6096404744368	-10.543551283979	-6.06757593215337	-13.7027498788283	-9.82828076091215	-9.84145614965989	-8.97301585389316	-8.21303569325495	-12.5652463550784	-6.93898422531837	-6.47136867426459	1.09863515085309	-10.6323605509369	-2.72137287588109	-12.6096404744368	-12.4803574574918	-10.1177873781071	-10.4397154729945	1.66086018053048	-7.0782590139205	-3.81116867333519	1.86431889125795	-4.06154105745842	-11.726997425075	-10.6789031368739	-0.97293089869351	-13.3617129609932	-2.95433337292633	-11.6096404744368	-8.38082178394093	-10.4397154729945	-11.0097276322497	-10.7894615120216	-13.0246779737157
ERR1018306	-12.9092007562957	-7.80874057451651	-5.50897813543161	-11.4598933549321	-0.936883668927755	-8.05889368905357	-12.4001871088079	-2.90120317547151	-9.86817348803566	-13.6096404744368	-0.365443902919825	1.08894211798119	-11.4198159155568	-7.18968029658892	-12.3617129609932	3.48590721615478	-10.0397848661059	1.33758551083328	-13.9092007562957	0.259844931276054	-4.26201910586868	-10.8282807609122	-9.9802838543572	-2.5949225445768	-13.2877123795494	-11.5011160176586	-7.86817348803566	0.882744768002482	-0.242362245077088	-11.0704816633288	-9.22593618196276	-1.23266724893257	-12.5652463550784	-1.99286192043667	3.12340795807661	-12.6096404744368	-0.787144329384499	-7.14203492435381	-7.45735563213023	-8.84145614965989	-11.4397154729945	-6.69824848659335	-14.4397154729945	-8.43471479193613	-4.78031413859515	0.291167383307102	1.63658518150698	-12.6554441640499	-9.91615351693749	1.23138325275397	-11.8547529722733	-1.17922059286585	-3.41119543298445	-5.92840206265901	-9.31501972554518	-6.97664527729385	-13.6096404744368	-11.5872726614084	-12.0860785183798	-12.9092007562957	-4.50832132001354	-4.87450759029687	-11.3808217839409	-13.7027498788283	-9.87493085421097	-3.58173447786693	1.05819871975983	0.98854290945866	-13.8022855523792	-12.2520884698187	-14.0246779737157	-5.80228555237921	-12.6096404744368	-12.7027498788283	-10.6907772371622	-12.6096404744368	-3.56439273985856	-13.5221776331865	-13.7027498788283	-10.8414561496599	-9.84145614965989	-0.869543518857901	-8.21303569325495	-12.5652463550784	-6.4842270039535	-13.0860785183798	-0.40499291827896	-11.6323605509369	5.69015026726398	-12.6096404744368	-12.4803574574918	-10.1177873781071	-12.6096404744368	1.18871740920268	-14.2877123795494	-2.07844179936419	-0.535289916355029	-0.702585518638897	-11.726997425075	-10.6789031368739	-12.5221776331865	-8.38082178394093	-3.15072126746922	-11.6096404744368	-11.9372151324653	-10.4397154729945	-11.0097276322497	-3.88640617354343	-13.0246779737157
ERR1018305	-12.9092007562957	-7.22593618196276	-4.81319521537496	-11.4598933549321	-1.32189202796217	-10.8282807609122	-12.4001871088079	3.31744589938559	-7.39775217989081	-13.6096404744368	-2.13847334071242	-11.4001871088079	-9.71482271112887	-6.25759704864138	-12.3617129609932	4.58681817551533	-0.23477079788092	1.23771055003536	-2.73369918593926	1.13740515482544	-2.59596886037817	-7.56251656232279	-6.94252893236178	-3.97233635233061	-13.2877123795494	-11.5011160176586	-9.72089722553855	-6.22377807379535	-0.342140520640935	-11.0704816633288	-6.90920075629572	2.26024550713812	-12.5652463550784	-11.9949306303216	-13.2173230516581	-12.6096404744368	0.109133187460709	-3.13771128679512	-12.7516594793092	-8.42476513152853	-4.46689519768528	-12.9657842846621	-10.2697904715522	-7.61246099349919	2.93709764383061	-0.3400023955967	3.42804990756275	-8.80228555237921	-1.49244382053415	-2.07515519938527	-11.8547529722733	-0.710283551513701	-3.30258200608255	-7.04549098445108	-0.98145127923319	-4.26118893702968	-13.6096404744368	-1.12727366067683	-12.0860785183798	-1.9250562043969	-2.29838884529862	-4.7618001188061	-2.73860157577734	-13.7027498788283	0.550023948767338	-3.40920159483884	-4.95679550143483	2.79533058289298	-9.56524635507836	-12.2520884698187	-14.0246779737157	-13.3617129609932	-1.77922430264387	-12.7027498788283	-7.14407406962741	-12.6096404744368	-2.96860480372447	-10.3808217839409	-11.2173230516581	-4.63200278403094	-9.84145614965989	2.2032136878152	-8.21303569325495	-4.91920591804176	-13.4397154729945	-13.0860785183798	0.815755754472568	-11.6323605509369	2.59394411525959	-6.30471880485514	-12.4803574574918	-10.1177873781071	-12.6096404744368	1.57702028355734	-4.81076370630351	-5.60612256232821	2.31852220285427	-3.02373902474604	-11.726997425075	-1.86281128042069	-12.5221776331865	-13.3617129609932	-1.05373327205894	-11.6096404744368	-11.9372151324653	-7.63809692048604	-9.37123573511173	-3.92686529536978	-13.0246779737157
ERR1018304	0.779982462969198	-14.4397154729945	-12.9657842846621	-11.4598933549321	-4.32626268515125	-10.8282807609122	-2.03386489456205	-13.1502088557995	-9.86817348803566	-13.6096404744368	-8.84145614965989	-10.4001871088079	-4.53951952995999	-13.9092007562957	-12.3617129609932	4.81685873356075	-10.0397848661059	1.76943746912508	-3.12431428519629	2.71474886171918	-11.9949306303216	-5.41919845565399	-9.9802838543572	-11.4198159155568	-13.2877123795494	-11.5011160176586	-9.72089722553855	0.880074233718732	-0.340349397045017	-11.0704816633288	-9.22593618196276	-9.53817811188019	-12.5652463550784	-11.9949306303216	-9.63236055093689	-6.34519787421021	-10.6554441640499	-2.86039953541449	-12.7516594793092	-7.05121976116815	-2.05607117407658	-2.35092723427759	-14.4397154729945	-0.354150805848204	2.17835451994448	1.97990827079943	-5.10631161781015	-12.6554441640499	-7.03599328694349	0.408516228099319	-11.8547529722733	-8.7178567712185	-3.98324697026282	-6.92139016530363	-14.6096404744368	-6.243318260191	-13.6096404744368	-8.32423825557456	-12.0860785183798	-12.9092007562957	-12.7516594793092	-4.86396615043468	-2.96962154198103	-13.7027498788283	1.67123901560046	0.234133395612482	-11.1339070434704	-4.82173791504538	-5.04263510418978	-12.2520884698187	-14.0246779737157	-13.3617129609932	2.21366456197812	-0.0924170769171592	-10.6907772371622	-12.6096404744368	-3.85225046507017	-13.5221776331865	-9.73927575485341	-10.8414561496599	-9.84145614965989	-0.722753149354101	-7.21303569325495	-12.5652463550784	-8.23895306762959	-8.45989335493213	0.902444096875541	-11.6323605509369	-7.57072148514451	-12.6096404744368	-12.4803574574918	-10.1177873781071	-8.12180044061376	3.80760737160107	-7.09591287848437	-11.7767504602721	3.50130920121061	-1.77260393091947	-11.726997425075	-5.243318260191	-12.5221776331865	-13.3617129609932	-0.804904422822782	-11.6096404744368	-11.9372151324653	-10.4397154729945	-2.27139157118529	2.6994339201515	-13.0246779737157
ERR1018303	-12.9092007562957	-14.4397154729945	-12.9657842846621	-11.4598933549321	0.174368065471242	-10.8282807609122	-12.4001871088079	-2.86596310596984	-9.86817348803566	-13.6096404744368	-0.392477931530524	-11.4001871088079	-5.59422542205012	-13.9092007562957	-12.3617129609932	5.09702921938586	-10.0397848661059	-8.82173791504538	-4.08902179388053	1.1835627362895	-1.56268702313008	-10.8282807609122	-9.9802838543572	-11.4198159155568	-13.2877123795494	-11.5011160176586	-9.72089722553855	-5.67594981948458	-2.73677324765024	-11.0704816633288	-9.22593618196276	-0.223727531833115	-12.5652463550784	-2.35542379656133	-1.18862761865759	-7.99125497217821	-0.665225803180103	-3.72890903929515	-12.7516594793092	-11.4803574574918	-11.4397154729945	-12.9657842846621	-14.4397154729945	-3.68297384508953	-1.53311711952048	1.95131176160229	3.67283150245565	-12.6554441640499	2.06887026365287	-3.79065893500437	-11.8547529722733	-0.469769411224324	-0.342469744389618	-1.44752455550897	-0.188364569146256	-6.31962162750419	-13.6096404744368	-1.73585995174365	-12.0860785183798	-12.9092007562957	-5.96849187702558	-6.14816102715066	-11.3808217839409	-8.10979458735361	-6.27872359632219	-2.29512803554365	-11.1339070434704	3.39112292652088	-1.97477271566892	-12.2520884698187	-14.0246779737157	-6.53817811188019	-0.857181422675296	-12.7027498788283	-10.6907772371622	-12.6096404744368	-10.543551283979	-13.5221776331865	-13.7027498788283	-0.219639502010194	-9.84145614965989	0.0671705910169645	2.29777835515853	-12.5652463550784	0.0564448010196681	-0.527761797372526	2.05757157477529	-11.6323605509369	-1.19508735960967	-12.6096404744368	-12.4803574574918	-10.1177873781071	-12.6096404744368	1.98429403701082	-3.08571103078514	-8.22593618196276	1.89483716075792	-3.34153713882589	-11.726997425075	-10.6789031368739	-12.5221776331865	-2.18626189791832	0.120020095615999	-8.75789143302075	-11.9372151324653	-10.4397154729945	-11.0097276322497	-1.4870551056982	-13.0246779737157
