feature	Methanobrevibacter	Akkermansia	Sphingobium	Pseudomonas	Desulfovibrio	Mailhella	Bilophila	Acinetobacter	Morganella	Escherichia.Shigella	Klebsiella	Aeromonas	Haemophilus	Comamonas	Oxalobacter	Sutterella	Succinivibrio	Campylobacter	Victivallis	Fusobacterium	Solobacterium	Holdemania	Coprobacillus	Massiliomicrobiota	Thomasclavelia	Erysipelotrichaceae_UCG.003	Catenibacterium	Dielma	Merdibacter	Faecalitalea	X.Clostridium._innocuum_group	Holdemanella	UCG.004	Asteroleplasma	Anaeroplasma	Weissella	Leuconostoc	Parageobacillus	Turicibacter	Staphylococcus	Granulicatella	Enterococcus	Ligilactobacillus	Lacticaseibacillus	Lactobacillus	Limosilactobacillus	Lactococcus	Streptococcus	Rikenellaceae_RC9_gut_group	Alistipes	Bacteroides	Massiliprevotella	Prevotellaceae_NK3B31_group	Leyella	Hoylesella	Prevotella	Segatella	Paraprevotella	Alloprevotella	Parabacteroides	Porphyromonas	CAG.873	Gabonibacter	Butyricimonas	Odoribacter	Barnesiella	Coprobacter	Zag_111	CAG.196	Corynebacterium	Schaalia	Bifidobacterium	Actinomyces	Rothia	Eggerthella	Raoultibacter	Gordonibacter	Slackia	Senegalimassilia	Adlercreutzia	Tractidigestivibacter	Collinsella	Parolsenella	Olsenella	Lancefieldella	Thermus	Phascolarctobacterium	Acidaminococcus	Veillonella	Dialister	Allisonella	Megasphaera	Mitsuokella	Megamonas	Cloacibacillus	Gemella	Eubacterium	Peptococcus	Christensenellaceae_R.7_group	Clostridium	Family_XIII_AD3011_group	Mogibacterium	Family_XIII_UCG.001	X.Eubacterium._brachy_group	Peptostreptococcus	Intestinibacter	Romboutsia	Terrisporobacter	Peptoniphilus	Murdochiella	Finegoldia	Parvimonas	Fenollaria	Ezakiella	Anaerococcus	Lachnospiraceae_UCG.010	Defluviitaleaceae_UCG.011	Ruminiclostridium	Monoglobus	Agathobaculum	UCG.008	UCG.009	Flavonifractor	Intestinimonas	NK4A214_group	Colidextribacter	UCG.002	UCG.003	Oscillibacter	Oscillospira	UCG.005	X.Eubacterium._siraeum_group	Ruminococcus	Paludicola	Negativibacillus	Anaerotruncus	Angelakisella	Hydrogenoanaerobacterium	Phocea	Candidatus_Soleaferrea	CAG.352	Acutalibacter	DTU089	Fournierella	Gemmiger	Faecalibacterium	Ruthenibacterium	Eisenbergiella	Dorea	X.Ruminococcus._gnavus_group	Howardella	Butyribacter	Agathobacter	Roseburia	Catenibacillus	GCA.900066575	Moryella	Anaerostipes	X.Eubacterium._ruminantium_group	Anaerobutyricum	X.Eubacterium._xylanophilum_group	X.Eubacterium._eligens_group	Lachnospira	Lachnospiraceae_ND3007_group	X.Eubacterium._ventriosum_group	Lachnospiraceae_UCG.008	Lachnospiraceae_NK4A136_group	Oribacterium	Lachnospiraceae_UCG.004	Lachnospiraceae_FCS020_group	Butyrivibrio	Lachnoclostridium	Faecalimonas	Enterocloster	Hungatella	Sellimonas	Extibacter	X.Ruminococcus._gauvreauii_group	Blautia	CAG.56	Fusicatenibacter	Coprococcus	Tyzzerella	Faecalicatena	Mediterraneibacter
ERR3928931	0	29	0	38	847	211	583	0	31	1405	97	0	63	11	15	14	8	4	62	839	3	24	0	0	0	458	0	0	0	0	0	571	0	0	0	0	0	0	0	0	10	14	1008	184	24	268	0	2270	6	6027	45306	11	0	0	4	0	165	503	0	1008	25	6	0	583	160	791	101	0	7	0	27	106	0	6	40	0	0	84	166	58	0	1703	0	0	6	0	636	0	8	7	0	0	0	0	0	7	0	102	709	37	124	0	17	0	0	0	85	0	0	0	6	8	7	0	0	570	0	0	140	475	0	0	60	0	77	234	2066	366	235	86	439	17	25	43	235	0	31	0	15	8	2371	270	0	0	1197	8279	73	0	1049	12	0	0	5980	4960	0	62	82	430	0	1018	0	0	459	300	245	76	1046	0	261	38	0	676	42	695	27	0	95	507	7307	654	1311	950	40	0	1233
ERR3928933	3	30	0	35	257	0	327	0	0	23692	85	20	12	14	10	0	0	0	35	35	0	16	28	0	94	274	0	0	33	5	22	1022	0	0	0	0	0	0	0	0	10	15	14	0	1211	623	0	736	11	3776	21939	7	0	0	0	12	277	0	0	2903	26	0	0	726	223	21	6	31	0	0	26	75	13	0	8	0	0	7	206	113	0	348	0	0	0	0	8	10	10	952	0	0	0	0	0	8	0	24	2194	7	77	0	23	0	6	0	0	0	0	0	11	8	4	0	0	1098	12	0	319	328	5	0	14	21	378	36	2248	490	51	20	1471	0	1209	10	179	0	20	5	16	5	874	252	8	0	1880	11963	60	0	1434	18	44	840	1611	845	0	37	0	376	3239	416	376	1473	412	1344	0	130	2455	0	684	141	0	515	79	611	33	63	312	809	6719	0	2440	1295	113	0	1651
ERR3928934	0	22	0	25	158	0	225	5	0	19553	82	14	13	10	12	25	13	0	35	12	0	12	15	0	113	181	0	6	32	11	13	981	0	0	0	0	0	0	11	0	0	19	7	0	918	502	0	701	7	2452	15398	5	0	7	0	0	239	0	4	2122	23	0	0	507	175	16	0	39	0	0	40	72	0	0	5	0	0	8	128	83	0	238	0	0	0	0	6	0	9	690	0	8	0	0	0	0	0	20	1693	14	62	0	14	0	5	0	11	0	0	0	0	15	5	0	0	747	11	0	257	227	0	8	0	0	273	25	1781	365	40	24	980	0	1166	11	193	21	13	0	12	3	812	188	9	0	1606	10646	66	0	956	20	33	746	1476	897	0	35	0	203	1875	172	247	1599	223	925	0	110	1845	0	462	115	0	360	52	289	24	68	172	638	5225	0	1379	907	78	0	1516
ERR3928935	729	5268	0	47	9	0	96	9	149	27800	112	21	36	10	71	480	29	109	709	441	434	0	0	0	0	320	10	0	0	12	0	1901	0	0	9	0	0	0	63	0	40	34	0	0	8	0	0	238	9	4559	23594	0	807	0	0	19	198	270	676	1345	733	5	0	521	766	1801	23	4	0	6	0	1358	23	0	8	0	0	123	142	111	0	815	0	0	0	0	11	22	21	1376	0	0	0	0	114	384	0	294	7119	168	74	0	5	16	322	17	52	0	6	3	10	182	6	5	5	492	0	300	90	134	472	10	40	361	1086	162	4397	112	64	140	1334	35	480	0	0	0	21	65	0	15	114	235	12	0	1502	5034	40	0	594	0	95	21	650	153	0	20	208	450	1258	539	110	1914	1923	432	226	0	707	0	13	26	1296	86	58	156	26	0	0	47	2152	95	461	1164	0	14	936
ERR3928936	1113	2595	0	32	0	0	62	9	103	18623	106	20	26	0	45	371	20	103	941	1138	440	7	0	0	0	452	6	0	0	8	0	1943	0	0	0	0	0	0	87	0	60	41	0	0	18	0	0	374	8	4448	22765	12	682	0	0	8	173	346	547	1304	815	7	0	673	691	2057	40	0	0	8	24	1228	22	0	14	4	0	126	151	114	0	738	0	0	0	0	0	13	10	1040	0	6	0	5	94	346	0	302	6571	165	66	0	0	0	414	12	87	0	9	0	0	198	0	7	3	370	19	272	92	103	397	0	35	180	998	120	3425	97	55	110	1372	46	602	5	24	9	13	55	0	10	97	214	12	0	1717	6813	38	0	555	11	116	14	780	119	0	13	246	498	1803	435	138	2213	1941	316	312	0	990	0	0	16	1607	122	46	239	48	0	0	60	2243	89	389	1297	7	22	824
ERR3928937	0	22	0	24	0	0	722	0	0	702	136	13	29	6	0	1924	10	4	6	19	6	0	26	0	208	21	0	39	0	55	119	0	0	0	5	0	0	0	14	0	0	39	0	24	5	0	28	411	0	18488	58483	9	0	13	0	0	141	10	0	7282	28	5	0	0	539	13	273	0	3	0	0	1813	23	0	204	3	25	0	0	0	0	389	0	0	0	0	311	7916	12	17	63	0	0	5	0	8	297	0	96	8	31	218	0	0	0	1193	145	0	0	0	6	0	4	0	0	17	0	0	0	96	0	0	1611	156	7	0	655	0	1073	0	15	0	21	14	0	103	0	0	6	0	81	11	0	0	63	215	684	143	60	638	0	0	424	503	0	0	0	288	0	13	0	0	632	13	0	0	85	0	0	0	0	611	0	3798	1527	192	0	0	6278	0	36	24	235	23	2277
ERR3928938	0	23	0	33	405	0	312	0	0	525	85	0	15	0	0	17	11	4	32	126	3	9	13	0	0	1015	0	0	9	0	0	20	0	0	0	0	0	0	0	0	0	29	0	0	0	0	7	156	16	2951	30572	5	0	0	0	99	187	880	3	1686	30	5	0	392	404	3106	51	335	309	0	12	635	0	0	16	0	45	0	0	148	0	12	0	4	0	0	770	0	0	66	0	7	0	8	0	25	0	60	2373	20	0	0	49	7	46	0	18	0	7	0	9	23	0	0	0	1214	0	0	559	1292	0	0	67	350	51	259	1728	252	88	60	338	357	2774	0	0	0	7	0	0	3	3866	322	0	0	6549	17877	29	0	1342	0	0	237	1768	1382	0	382	45	1447	8	916	0	1481	792	1234	139	123	3451	0	1109	316	0	799	72	579	0	0	0	0	8246	618	1922	1260	1062	0	1364
ERR3928939	0	16655	0	32	3	0	223	0	14	720	124	16	16	13	0	2549	11	0	5	32	0	12	0	0	102	217	7	0	0	47	11	17	0	0	0	0	0	0	0	0	0	102	432	92	80	385	0	250	10	1418	30429	11	0	13	0	0	181	0	0	2291	25	3	0	412	190	27	0	75	98	0	0	8467	26	4	183	0	31	0	0	36	0	191	0	0	0	0	13	0	0	1454	80	0	0	2179	0	0	0	26	375	51	74	0	23	8	0	36	843	0	8	0	7	7	0	0	4	18	13	0	102	416	0	0	245	14	0	456	106	14	168	33	30	15	1056	28	89	15	28	14	0	12	129	213	10	87	85	10292	64	140	1123	62	0	0	6307	7794	0	43	0	253	0	466	115	365	527	737	377	105	2080	0	173	41	0	261	28	435	41	0	72	0	7082	0	278	977	538	27	1248
ERR3928940	115	21	0	17	190	69	131	5	14	432	54	0	21	10	69	246	13	0	79	110	355	12	0	0	7	54	5618	0	6	0	0	628	33	0	0	0	0	0	18	0	0	23	2187	0	19	19	0	396	0	367	10328	0	0	1207	0	83	466	0	0	899	180	0	0	349	410	40	0	0	6	0	0	14527	0	0	5	0	0	99	169	126	0	2124	0	0	0	0	387	36	0	26	0	1031	0	0	0	10	0	11	3275	101	123	173	22	0	59	0	64	0	8	0	5	70	9	0	0	397	8	131	105	82	0	12	31	172	298	77	2975	155	29	15	383	45	660	0	26	0	25	0	0	0	7055	93	0	0	2498	7311	29	0	644	0	91	56	975	87	0	33	16	445	183	385	11	206	61	183	127	51	935	4	63	60	0	136	10	24	0	0	0	125	3178	25	906	837	0	0	460
ERR3928941	0	19	0	26	0	154	124	8	0	559	48	17	16	6	0	3374	8	0	32	0	0	25	12	0	178	18	6	8	0	232	0	6	0	0	0	0	0	0	15	0	0	20	0	0	0	0	16	267	10	1799	45112	15	0	0	0	7	149	7	0	957	13	0	24	0	270	0	6	0	5	0	11	380	0	0	59	0	40	0	0	0	0	441	0	0	0	0	507	0	0	18	0	0	0	0	0	0	0	46	219	0	14	0	25	0	0	0	29	0	0	0	5	0	5	0	2	0	8	0	60	187	0	0	86	39	0	262	939	88	247	25	124	23	26	11	179	0	38	0	0	0	2418	297	0	0	8785	2632	74	8	481	76	0	0	713	9766	84	57	0	821	0	500	0	440	228	1171	195	51	6276	0	40	0	0	523	58	731	0	50	117	15	7271	0	534	414	339	0	605
