feature	Methanobrevibacter	Akkermansia	Sphingobium	Pseudomonas	Desulfovibrio	Mailhella	Bilophila	Acinetobacter	Morganella	Escherichia.Shigella	Klebsiella	Aeromonas	Haemophilus	Comamonas	Oxalobacter	Sutterella	Succinivibrio	Campylobacter	Victivallis	Fusobacterium	Solobacterium	Holdemania	Coprobacillus	Massiliomicrobiota	Thomasclavelia	Erysipelotrichaceae_UCG.003	Catenibacterium	Dielma	Merdibacter	Faecalitalea	X.Clostridium._innocuum_group	Holdemanella	UCG.004	Asteroleplasma	Anaeroplasma	Weissella	Leuconostoc	Parageobacillus	Turicibacter	Staphylococcus	Granulicatella	Enterococcus	Ligilactobacillus	Lacticaseibacillus	Lactobacillus	Limosilactobacillus	Lactococcus	Streptococcus	Rikenellaceae_RC9_gut_group	Alistipes	Bacteroides	Massiliprevotella	Prevotellaceae_NK3B31_group	Leyella	Hoylesella	Prevotella	Segatella	Paraprevotella	Alloprevotella	Parabacteroides	Porphyromonas	CAG.873	Gabonibacter	Butyricimonas	Odoribacter	Barnesiella	Coprobacter	Zag_111	CAG.196	Corynebacterium	Schaalia	Bifidobacterium	Actinomyces	Rothia	Eggerthella	Raoultibacter	Gordonibacter	Slackia	Senegalimassilia	Adlercreutzia	Tractidigestivibacter	Collinsella	Parolsenella	Olsenella	Lancefieldella	Thermus	Phascolarctobacterium	Acidaminococcus	Veillonella	Dialister	Allisonella	Megasphaera	Mitsuokella	Megamonas	Cloacibacillus	Gemella	Eubacterium	Peptococcus	Christensenellaceae_R.7_group	Clostridium	Family_XIII_AD3011_group	Mogibacterium	Family_XIII_UCG.001	X.Eubacterium._brachy_group	Peptostreptococcus	Intestinibacter	Romboutsia	Terrisporobacter	Peptoniphilus	Murdochiella	Finegoldia	Parvimonas	Fenollaria	Ezakiella	Anaerococcus	Lachnospiraceae_UCG.010	Defluviitaleaceae_UCG.011	Ruminiclostridium	Monoglobus	Agathobaculum	UCG.008	UCG.009	Flavonifractor	Intestinimonas	NK4A214_group	Colidextribacter	UCG.002	UCG.003	Oscillibacter	Oscillospira	UCG.005	X.Eubacterium._siraeum_group	Ruminococcus	Paludicola	Negativibacillus	Anaerotruncus	Angelakisella	Hydrogenoanaerobacterium	Phocea	Candidatus_Soleaferrea	CAG.352	Acutalibacter	DTU089	Fournierella	Gemmiger	Faecalibacterium	Ruthenibacterium	Eisenbergiella	Dorea	X.Ruminococcus._gnavus_group	Howardella	Butyribacter	Agathobacter	Roseburia	Catenibacillus	GCA.900066575	Moryella	Anaerostipes	X.Eubacterium._ruminantium_group	Anaerobutyricum	X.Eubacterium._xylanophilum_group	X.Eubacterium._eligens_group	Lachnospira	Lachnospiraceae_ND3007_group	X.Eubacterium._ventriosum_group	Lachnospiraceae_UCG.008	Lachnospiraceae_NK4A136_group	Oribacterium	Lachnospiraceae_UCG.004	Lachnospiraceae_FCS020_group	Butyrivibrio	Lachnoclostridium	Faecalimonas	Enterocloster	Hungatella	Sellimonas	Extibacter	X.Ruminococcus._gauvreauii_group	Blautia	CAG.56	Fusicatenibacter	Coprococcus	Tyzzerella	Faecalicatena	Mediterraneibacter
ERR3928931	0	0.0002530320216386	0	0.000331559200767821	0.00739028008027223	0.00184102608847396	0.00508681615914842	0	0.000270482505889538	0.0122589651862839	0.000846348486170491	0	0.000549690253904546	9.59776633801588e-05	0.000130878631882035	0.000122153389756566	6.98019370037519e-05	3.49009685018759e-05	0.000540965011779077	0.00732047814326848	2.61757263764069e-05	0.000209405811011256	0	0	0	0.00399616089346479	0	0	0	0	0	0.00498211325364279	0	0	0	0	0	0	0	0	8.72524212546898e-05	0.000122153389756566	0.00879504406247273	0.00160544455108629	0.000209405811011256	0.00233836488962569	0	0.0198062996248146	5.23514527528139e-05	0.0525870342902016	0.395305819736498	9.59776633801588e-05	0	0	3.49009685018759e-05	0	0.00143966495070238	0.0043887967891109	0	0.00879504406247273	0.000218131053136725	5.23514527528139e-05	0	0.00508681615914842	0.00139603874007504	0.00690166652124596	0.000881249454672367	0	6.10766948782829e-05	0	0.000235581537387663	0.000924875665299712	0	5.23514527528139e-05	0.000349009685018759	0	0	0.000732920338539395	0.00144839019282785	0.000506064043277201	0	0.0148590873396737	0	0	5.23514527528139e-05	0	0.00554925399179827	0	6.98019370037519e-05	6.10766948782829e-05	0	0	0	0	0	6.10766948782829e-05	0	0.000889974696797836	0.00618619666695751	0.000322833958642352	0.00108193002355815	0	0.000148329116132973	0	0	0	0.000741645580664864	0	0	0	5.23514527528139e-05	6.98019370037519e-05	6.10766948782829e-05	0	0	0.00497338801151732	0	0	0.00122153389756566	0.00414449000959777	0	0	0.000523514527528139	0	0.000671843643661112	0.00204170665735974	0.0180263502312189	0.00319343861792165	0.00205043189948521	0.000750370822790332	0.00383038129308088	0.000148329116132973	0.000218131053136725	0.000375185411395166	0.00205043189948521	0	0.000270482505889538	0	0.000130878631882035	6.98019370037519e-05	0.020687549079487	0.00235581537387663	0	0	0.0104441148241864	0.0722362795567577	0.000636942675159236	0	0.00915277898961696	0.000104702905505628	0	0	0.0521769479103045	0.0432772009423261	0	0.000540965011779077	0.000715469854288457	0.00375185411395166	0	0.00888229648372742	0	0	0.00400488613559026	0.00261757263764069	0.0021376843207399	0.000663118401535643	0.00912660326324055	0	0.0022772881947474	0.000331559200767821	0	0.00589826367681703	0.000366460169269697	0.00606404327720094	0.000235581537387663	0	0.000828898001919553	0.00442369775761277	0.0637553442108019	0.00570630835005671	0.0114387924264898	0.00828898001919553	0.000349009685018759	0	0.0107582235407033
ERR3928933	2.58084496864273e-05	0.000258084496864273	0	0.000301098579674986	0.00221092385647061	0	0.00281312101582058	0	0	0.203817929990279	0.000731239407782108	0.000172056331242849	0.000103233798745709	0.000120439431869994	8.60281656214244e-05	0	0	0	0.000301098579674986	0.000301098579674986	0	0.000137645064994279	0.000240878863739988	0	0.00080866475684139	0.00235717173802703	0	0	0.000283892946550701	4.30140828107122e-05	0.000189261964367134	0.00879207852650958	0	0	0	0	0	0	0	0	8.60281656214244e-05	0.000129042248432137	0.000120439431869994	0	0.0104180108567545	0.00535955471821474	0	0.00633167298973684	9.46309821835669e-05	0.0324842353386499	0.188737192556843	6.02197159349971e-05	0	0	0	0.000103233798745709	0.00238298018771346	0	0	0.0249739764798995	0.000223673230615704	0	0	0.00624564482411542	0.00191842809335777	0.000180659147804991	5.16168993728547e-05	0.000266687313426416	0	0	0.000223673230615704	0.000645211242160683	0.000111836615307852	0	6.88225324971396e-05	0	0	6.02197159349971e-05	0.00177218021180134	0.000972118271522096	0	0.00299378016362557	0	0	0	0	6.88225324971396e-05	8.60281656214244e-05	8.60281656214244e-05	0.00818988136715961	0	0	0	0	0	6.88225324971396e-05	0	0.000206467597491419	0.0188745795373405	6.02197159349971e-05	0.000662416875284968	0	0.000197864780929276	0	5.16168993728547e-05	0	0	0	0	0	9.46309821835669e-05	6.88225324971396e-05	3.44112662485698e-05	0	0	0.00944589258523241	0.000103233798745709	0	0.00274429848332344	0.00282172383238272	4.30140828107122e-05	0	0.000120439431869994	0.000180659147804991	0.00325186466048984	0.000309701396237128	0.0193391316316962	0.0042153801154498	0.000438743644669265	0.000172056331242849	0.0126547431629115	0	0.0104008052236302	8.60281656214244e-05	0.0015399041646235	0	0.000172056331242849	4.30140828107122e-05	0.000137645064994279	4.30140828107122e-05	0.0075188616753125	0.0021679097736599	6.88225324971396e-05	0	0.0161732951368278	0.10291549453291	0.000516168993728547	0	0.0123364389501123	0.000154850698118564	0.000378523928734268	0.00722636591219965	0.0138591374816115	0.00726937999501037	0	0.00031830421279927	0	0.00323465902736556	0.0278645228447794	0.00357877168985126	0.00323465902736556	0.0126719487960358	0.00354436042360269	0.0115621854595194	0	0.00111836615307852	0.0211199146600597	0	0.00588432652850543	0.00121299713526208	0	0.00443045052950336	0.000679622508409253	0.00525632091946903	0.000283892946550701	0.000541977443414974	0.00268407876738844	0.00695967859877324	0.0578023244810351	0	0.0209908724116276	0.0111406474479745	0.000972118271522096	0	0.0142032501440972
ERR3928934	0	0.000244506929548662	0	0.000277848783578026	0.00175600431221312	0	0.00250063905220223	5.55697567156051e-05	0	0.217311090612045	0.000911344010135924	0.000155595318803694	0.000144481367460573	0.00011113951343121	0.000133367416117452	0.000277848783578026	0.000144481367460573	0	0.000388988297009236	0.000133367416117452	0	0.000133367416117452	0.000166709270146815	0	0.00125587650177268	0.0020116251931049	0	6.66837080587261e-05	0.000355646442979873	0.000122253464774331	0.000144481367460573	0.0109027862676017	0	0	0	0	0	0	0.000122253464774331	0	0	0.000211165075519299	7.77976594018471e-05	0	0.0102026073329851	0.00557920357424675	0	0.00779087989152783	7.77976594018471e-05	0.0272514086933327	0.171132622781377	5.55697567156051e-05	0	7.77976594018471e-05	0	0	0.00265623437100592	0	4.44558053724841e-05	0.0235838047501028	0.000255620880891783	0	0	0.00563477333096236	0.00194494148504618	0.000177823221489936	0	0.00043344410238172	0	0	0.000444558053724841	0.000800204496704713	0	0	5.55697567156051e-05	0	0	8.89116107449682e-05	0.00142258577191949	0.000922457961479045	0	0.0026451204196628	0	0	0	0	6.66837080587261e-05	0	0.000100025562088089	0.0076686264267535	0	8.89116107449682e-05	0	0	0	0	0	0.00022227902686242	0.0188159196239039	0.000155595318803694	0.000689064983273503	0	0.000155595318803694	0	5.55697567156051e-05	0	0.000122253464774331	0	0	0	0	0.000166709270146815	5.55697567156051e-05	0	0	0.0083021216533114	0.000122253464774331	0	0.0028562854951821	0.00252286695488847	0	8.89116107449682e-05	0	0	0.00303410871667204	0.000277848783578026	0.0197939473420985	0.00405659224023917	0.000444558053724841	0.000266734832234904	0.0108916723162586	0	0.0129588672660791	0.000122253464774331	0.00214499260922236	0.000233392978205541	0.000144481367460573	0	0.000133367416117452	3.33418540293631e-05	0.00902452849061427	0.00208942285250675	0.000100025562088089	0	0.0178490058570524	0.118319125998866	0.000733520788645987	0	0.0106249374840237	0.00022227902686242	0.000366760394322994	0.00829100770196828	0.0164041921824466	0.00996921435477956	0	0.000388988297009236	0	0.00225613212265357	0.0208386587683519	0.00191159963101682	0.00274514598175089	0.0177712081976505	0.00247841114951599	0.0102804049923869	0	0.00122253464774331	0.0205052402280583	0	0.00513464552052191	0.00127810440445892	0	0.00400102248352357	0.000577925469842293	0.00321193193816197	0.000266734832234904	0.000755748691332229	0.00191159963101682	0.00709070095691121	0.0580703957678073	0	0.0153261389021639	0.0100803538682108	0.00086688820476344	0	0.0168487502361715
ERR3928935	0.00608011743217208	0.0439369802917456	0	0.000391996597135923	7.50631781749639e-05	0	0.000800673900532949	7.50631781749639e-05	0.00124271261645218	0.231861817029333	0.000934119550621773	0.000175147415741582	0.000300252712699856	8.34035313055155e-05	0.00059216507226916	0.00400336950266474	0.000241870240785995	0.000909098491230119	0.00591331036956105	0.00367809573057323	0.00361971325865937	0	0	0	0	0.0026689130017765	8.34035313055155e-05	0	0	0.000100084237566619	0	0.0158550113011785	0	0	7.50631781749639e-05	0	0	0	0.000525442247224747	0	0.000333614125222062	0.000283572006438753	0	0	6.67228250444124e-05	0	0	0.00198500404507127	7.50631781749639e-05	0.0380236699221845	0.196782291762233	0	0.0067306649763551	0	0	0.000158466709480479	0.00165138991984921	0.00225189534524892	0.00563807871625285	0.0112177749605918	0.00611347884469428	4.17017656527577e-05	0	0.00434532398101736	0.00638871049800249	0.0150209759881233	0.000191828122002686	3.33614125222062e-05	0	5.00421187833093e-05	0	0.011326199551289	0.000191828122002686	0	6.67228250444124e-05	0	0	0.00102586343505784	0.00118433014453832	0.000925779197491222	0	0.00679738780139951	0	0	0	0	9.1743884436067e-05	0.000183487768872134	0.000175147415741582	0.0114763259076389	0	0	0	0	0.000950800256882876	0.00320269560213179	0	0.00245206382038215	0.0593749739363965	0.00140117932593266	0.000617186131660815	0	4.17017656527577e-05	0.000133445650088825	0.0026855937080376	0.000141786003219376	0.00043369836278868	0	5.00421187833093e-05	2.50210593916546e-05	8.34035313055155e-05	0.00151794426976038	5.00421187833093e-05	4.17017656527577e-05	4.17017656527577e-05	0.00410345374023136	0	0.00250210593916546	0.000750631781749639	0.00111760731949391	0.00393664667762033	8.34035313055155e-05	0.000333614125222062	0.00301086748012911	0.00905762349977898	0.00135113720714935	0.0366725327150352	0.000934119550621773	0.000533782600355299	0.00116764943827722	0.0111260310761558	0.000291912359569304	0.00400336950266474	0	0	0	0.000175147415741582	0.000542122953485851	0	0.000125105296958273	0.000950800256882876	0.00195998298567961	0.000100084237566619	0	0.0125272104020884	0.0419853376591965	0.000333614125222062	0	0.00495416975954762	0	0.000792333547402397	0.000175147415741582	0.00542122953485851	0.00127607402897439	0	0.000166807062611031	0.00173479345115472	0.0037531589087482	0.0104921642382338	0.00449545033736728	0.00091743884436067	0.0159634358918757	0.0160384990700506	0.00360303255239827	0.00188491980750465	0	0.00589662966329994	0	0.00010842459069717	0.00021684918139434	0.0108090976571948	0.000717270369227433	0.00048374048157199	0.00130109508836604	0.00021684918139434	0	0	0.000391996597135923	0.0179484399369469	0.000792333547402397	0.00384490279318426	0.009708171043962	0	0.000116764943827722	0.00780657053019625
ERR3928936	0.0101269278012829	0.0236113006687594	0	0.00029116054774578	0	0	0.00056412356125745	8.18889040535007e-05	0.000937173013056731	0.169446340020927	0.000964469314407898	0.000181975342341113	0.000236567945043447	0	0.000409444520267504	0.00337564260042764	0.000181975342341113	0.000937173013056731	0.00856193985714936	0.0103543969792093	0.00400345753150448	6.36913698193895e-05	0	0	0	0.00411264273690915	5.45926027023338e-05	0	0	7.27901369364451e-05	0	0.0176789045084391	0	0	0	0	0	0	0.000791592739183841	0	0.000545926027023338	0.000373049451799281	0	0	0.000163777808107001	0	0	0.00340293890177881	7.27901369364451e-05	0.0404713161366635	0.207133433419772	0.000109185205404668	0.00620535917383195	0	0	7.27901369364451e-05	0.00157408671125063	0.00314817342250125	0.00497702561302943	0.0118647923206406	0.00741549520040035	6.36913698193895e-05	0	0.00612347026977845	0.00628724807788545	0.0187161639597834	0.000363950684682226	0	0	7.27901369364451e-05	0.000218370410809335	0.0111732860197443	0.000200172876575224	0	0.000127382739638779	3.63950684682226e-05	0	0.00114644465674901	0.0013739138346754	0.00103725945134434	0	0.00671489013238706	0	0	0	0	0	0.000118283972521723	9.09876711705564e-05	0.00946271780173786	0	5.45926027023338e-05	0	4.54938355852782e-05	0.00085528410900323	0.00314817342250125	0	0.0027478276693508	0.0597879987261726	0.00150129657431418	0.000600518629725672	0	0	0	0.00376688958646103	0.000109185205404668	0.000791592739183841	0	8.18889040535007e-05	0	0	0.00180155588917702	0	6.36913698193895e-05	2.72963013511669e-05	0.00336654383331059	0.000172876575224057	0.00247486465583913	0.000837086574769119	0.000937173013056731	0.00361221054547109	0	0.000318456849096947	0.00163777808107001	0.00908056958282153	0.00109185205404668	0.0311632773759156	0.000882580410354397	0.00050043219143806	0.00100086438287612	0.0124835084846003	0.000418543287384559	0.0054774578044675	4.54938355852782e-05	0.000218370410809335	8.18889040535007e-05	0.000118283972521723	0.00050043219143806	0	9.09876711705564e-05	0.000882580410354397	0.00194713616304991	0.000109185205404668	0	0.0156225831399845	0.0619899003685001	0.000345753150448114	0	0.00504981574996588	0.000100086438287612	0.00105545698557845	0.000127382739638779	0.0070970383513034	0.00108275328692962	0	0.000118283972521723	0.00223829671079569	0.00453118602429371	0.0164050771120513	0.0039579636959192	0.00125562986215368	0.0201355716300441	0.017660706974205	0.00287521040898958	0.00283881534052136	0	0.00900777944588508	0	0	0.00014558027387289	0.0146217187571084	0.00111004958828079	0.000418543287384559	0.0021746053409763	0.000436740821618671	0	0	0.000545926027023338	0.0204085346435558	0.000809790273417952	0.00353942040853464	0.0118011009508212	6.36913698193895e-05	0.000200172876575224	0.00749738410445385
ERR3928937	0	0.000175551991318156	0	0.00019151126325617	0	0	0.00576129716962312	0	0	0.00560170445024298	0.00108523049178496	0.000103735267597092	0.000231409443101206	4.78778158140426e-05	0	0.0153528196043696	7.97963596900709e-05	3.19185438760284e-05	4.78778158140426e-05	0.000151613083411135	4.78778158140426e-05	0	0.000207470535194184	0	0.00165976428155348	0.000167572355349149	0	0.000311205802791277	0	0.00043887997829539	0.000949576680311844	0	0	0	3.98981798450355e-05	0	0	0	0.000111714903566099	0	0	0.000311205802791277	0	0.00019151126325617	3.98981798450355e-05	0	0.000223429807132199	0.00327963038326192	0	0.147527509795003	0.466673050375442	7.18167237210638e-05	0	0.000103735267597092	0	0	0.00112512867163	7.97963596900709e-05	0	0.0581077091263097	0.000223429807132199	3.98981798450355e-05	0	0	0.00430102378729482	0.000103735267597092	0.00217844061953894	0	2.39389079070213e-05	0	0	0.0144670800118099	0.000183531627287163	0	0.00162784573767745	2.39389079070213e-05	0.000199490899225177	0	0	0	0	0.00310407839194376	0	0	0	0	0.00248166678636121	0.0631667983306602	9.57556316280851e-05	0.000135653811473121	0.000502717066047447	0	0	3.98981798450355e-05	0	6.38370877520568e-05	0.00236995188279511	0	0.000766045053024681	6.38370877520568e-05	0.00024736871503922	0.00173956064124355	0	0	0	0.00951970571102546	0.00115704721550603	0	0	0	4.78778158140426e-05	0	3.19185438760284e-05	0	0	0.000135653811473121	0	0	0	0.000766045053024681	0	0	0.0128551935460704	0.00124482321116511	5.58574517830497e-05	0	0.00522666155969965	0	0.00856214939474461	0	0.000119694539535106	0	0.000167572355349149	0.000111714903566099	0	0.000821902504807731	0	0	4.78778158140426e-05	0	0.000646350513489575	8.7775995659078e-05	0	0	0.000502717066047447	0.00171562173333653	0.00545807100280085	0.00114108794356801	0.000478778158140426	0.00509100774822653	0	0	0.00338336565085901	0.00401375689241057	0	0	0	0.00229813515907404	0	0.000103735267597092	0	0	0.00504312993241248	0.000103735267597092	0	0	0.000678269057365603	0	0	0	0	0.00487555757706333	0	0.0303066574102889	0.0121849041246738	0.00153209010604936	0	0	0.0500961546134265	0	0.000287266894884255	0.00019151126325617	0.00187521445271667	0.000183531627287163	0.0181696311014292
ERR3928938	0	0.000194296141109684	0	0.000278772724200852	0.00342130161519227	0	0.00263566939244441	0	0	0.00443502061228627	0.000718050956274921	0	0.000126714874636751	0	0	0.000143610191254984	9.29242414002838e-05	3.37906332364669e-05	0.000270325065891735	0.00106440494694871	2.53429749273501e-05	7.60289247820504e-05	0.000109819558018517	0	0	0.00857437318375346	0	0	7.60289247820504e-05	0	0	0.000168953166182334	0	0	0	0	0	0	0	0	0	0.000244982090964385	0	0	0	0	5.9133608163817e-05	0.00131783469622221	0.000135162532945867	0.0249290396702034	0.258261809826316	4.22382915455836e-05	0	0	0	0.000836318172602555	0.00157971210380483	0.00743393931202271	2.53429749273501e-05	0.0142427519091708	0.000253429749273501	4.22382915455836e-05	0	0.00331148205717375	0.00341285395688315	0.0262384267081165	0.000430830573764952	0.0028299655335541	0.00261032641751706	0	0.000101371899709401	0.00536426302628911	0	0	0.000135162532945867	0	0.000380144623910252	0	0	0.00125025342974927	0	0.000101371899709401	0	3.37906332364669e-05	0	0	0.00650469689801987	0	0	0.000557545448401703	0	5.9133608163817e-05	0	6.75812664729337e-05	0	0.000211191457727918	0	0.000506859498547003	0.020046293167534	0.000168953166182334	0	0	0.000413935257146719	5.9133608163817e-05	0.000388592282219369	0	0.000152057849564101	0	5.9133608163817e-05	0	7.60289247820504e-05	0.000194296141109684	0	0	0	0.0102554571872677	0	0	0.00472224099479624	0.0109143745353788	0	0	0.00056599310671082	0.00295668040819085	0.000430830573764952	0.00218794350206123	0.0145975535581537	0.00212880989389741	0.000743393931202271	0.000506859498547003	0.00285530850848145	0.00301581401635467	0.0234338041494898	0	0	0	5.9133608163817e-05	0	0	2.53429749273501e-05	0.0326586470230452	0.00272014597553558	0	0	0.0553237142664054	0.151018787592079	0.000244982090964385	0	0.0113367574508346	0	0	0.00200209501926066	0.0149354598905183	0.0116746637831993	0	0.00322700547408258	0.000380144623910252	0.0122237615732919	6.75812664729337e-05	0.00773805501115091	0	0.0125109819558019	0.00669054538082044	0.01042441035345	0.00117422450496722	0.00103906197202136	0.0291528688247618	0	0.00936845306481044	0.00266946002568088	0	0.00674967898898425	0.000608231398256403	0.00489119416097858	0	0	0	0	0.0696593904169764	0.00522065283503413	0.0162363992701223	0.0106440494694871	0.00897141312428195	0	0.0115226059336352
ERR3928939	0	0.14244417266064	0	0.000273684390581836	2.56579116170471e-05	0	0.00190723809686717	0	0.000119736920879553	0.00615789878809131	0.00106052701350461	0.000136842195290918	0.000136842195290918	0.000111184283673871	0	0.0218006722372844	9.40790092625061e-05	0	4.27631860284119e-05	0.000273684390581836	0	0.000102631646468188	0	0	0.000872368994979602	0.00185592227363307	5.98684604397766e-05	0	0	0.000401973948667072	9.40790092625061e-05	0.0001453948324966	0	0	0	0	0	0	0	0	0	0.000872368994979602	0.00369473927285478	0.000786842622922778	0.00068421097645459	0.00329276532418771	0	0.00213815930142059	8.55263720568237e-05	0.0121276395576576	0.260248197531709	9.40790092625061e-05	0	0.000111184283673871	0	0	0.00154802733422851	0	0	0.0195940918382183	0.000213815930142059	2.56579116170471e-05	0	0.00352368652874114	0.00162500106907965	0.000230921204553424	0	0.000641447790426178	0.000838158446156872	0	0	0.0724151792205126	0.000222368567347742	3.42105488227295e-05	0.00156513260863987	0	0.000265131753376154	0	0	0.000307894939404565	0	0.00163355370628533	0	0	0	0	0.000111184283673871	0	0	0.0124355344970622	0.00068421097645459	0	0	0.0186361964711819	0	0	0	0.000222368567347742	0.00320723895213089	0.000436184497489801	0.000632895153220495	0	0.000196710655730695	6.8421097645459e-05	0	0.000307894939404565	0.00720987316439024	0	6.8421097645459e-05	0	5.98684604397766e-05	5.98684604397766e-05	0	0	3.42105488227295e-05	0.000153947469702283	0.000111184283673871	0	0.000872368994979602	0.00355789707756387	0	0	0.00209539611539218	0.000119736920879553	0	0.00390000256579116	0.000906579543802331	0.000119736920879553	0.00143684305055464	0.000282237027787518	0.000256579116170471	0.000128289558085236	0.00903158488920059	0.000239473841759106	0.000761184711305731	0.000128289558085236	0.000239473841759106	0.000119736920879553	0	0.000102631646468188	0.00110329019953303	0.00182171172481035	8.55263720568237e-05	0.000744079436894366	0.000726974162483002	0.088023742120883	0.000547368781163672	0.00119736920879553	0.0096046115819813	0.000530263506752307	0	0	0.0539414828562387	0.0666592543810884	0	0.000367763399844342	0	0.00216381721303764	0	0.00398552893784799	0.000983553278653473	0.00312171258007407	0.00450723980739461	0.00630329362058791	0.00322434422654225	0.000898026906596649	0.0177894853878193	0	0.00147960623658305	0.000350658125432977	0	0.0022322383106831	0.000239473841759106	0.00372039718447183	0.000350658125432977	0	0.000615789878809131	0	0.0605697766906426	0	0.0023776331431797	0.00835592654995168	0.00460131881665712	0.000230921204553424	0.0106736912326916
ERR3928940	0.00142511927628725	0.000260239172191586	0	0.000210669806059855	0.0023545448912572	0.000855071565772353	0.00162339674081418	6.19617076646632e-05	0.000173492781461057	0.0053534915422269	0.000669186442778363	0	0.000260239172191586	0.000123923415329326	0.000855071565772353	0.00304851601710143	0.000161100439928124	0	0.000978994981101679	0.00136315756862259	0.00439928124419109	0.000148708098395192	0	0	8.67463907305285e-05	0.000669186442778363	0.0696201747320156	0	7.43540491975959e-05	0	0	0.0077823904826817	0.000408947270586777	0	0	0	0	0	0.000223062147592788	0	0	0.000285023855257451	0.0271020509325237	0	0.00023545448912572	0.00023545448912572	0	0.00490736724704133	0	0.00454798934258628	0.127988103352128	0	0	0.0149575562302497	0	0.00102856434723341	0.00577483115434661	0	0	0.0111407150381065	0.00223062147592788	0	0	0.00432492719499349	0.00508086002850239	0.000495693661317306	0	0	7.43540491975959e-05	0	0	0.180023545448913	0	0	6.19617076646632e-05	0	0	0.00122684181176033	0.00209430571906562	0.00156143503314951	0	0.0263213334159489	0	0	0	0	0.00479583617324493	0.000446124295185575	0	0.000322200879856249	0	0.0127765041204536	0	0	0	0.000123923415329326	0	0.000136315756862259	0.0405849185203544	0.0012516264948262	0.00152425800855072	0.00214387508519735	0.000272631513724518	0	0.000731148150443026	0	0.000793109858107689	0	9.91387322634612e-05	0	6.19617076646632e-05	0.000867463907305285	0.000111531073796394	0	0	0.00491975958857426	9.91387322634612e-05	0.00162339674081418	0.00130119586095793	0.00101617200570048	0	0.000148708098395192	0.000384162587520912	0.00213148274366442	0.00369291777681393	0.000954210298035814	0.0368672160604746	0.00192081293760456	0.000359377904455047	0.00018588512299399	0.0047462668071132	0.000557655368981969	0.00817894541173555	0	0.000322200879856249	0	0.000309808538323316	0	0	0	0.0874279695148398	0.00115248776256274	0	0	0.0309560691492658	0.0906004089472706	0.000359377904455047	0	0.00798066794720862	0	0.00112770307949687	0.000693971125844228	0.0120825329946093	0.00107813371336514	0	0.000408947270586777	0.000198277464526922	0.00551459198215503	0.00226779850052667	0.00477105149017907	0.000136315756862259	0.00255282235578413	0.000755932833508892	0.00226779850052667	0.00157382737468245	0.000632009418179565	0.011586839333292	4.95693661317306e-05	0.000780717516574757	0.000743540491975959	0	0.00168535844847884	0.000123923415329326	0.000297416196790384	0	0	0	0.00154904269161658	0.03938286139166	0.000309808538323316	0.011227461428837	0.0103723898630646	0	0	0.00570047710514902
ERR3928941	0	0.000183608585150897	0	0.000251253853364386	0	0.00148819590069675	0.00119828760835322	7.73088779582725e-05	0	0.00540195784733429	0.000463853267749635	0.000164281365661329	0.000154617755916545	5.79816584687044e-05	0	0.0326050192789014	7.73088779582725e-05	0	0.00030923551183309	0	0	0.000241590243619602	0.000115963316937409	0	0.00172012253457156	0.000173944975406113	5.79816584687044e-05	7.73088779582725e-05	0	0.0022419574607899	0	5.79816584687044e-05	0	0	0	0	0	0	0.000144954146171761	0	0	0.000193272194895681	0	0	0	0	0.000154617755916545	0.00258018380185735	9.66360974478407e-05	0.0173848339308665	0.435944762806699	0.000144954146171761	0	0	0	6.76452682134885e-05	0.00143987785197283	6.76452682134885e-05	0	0.00924807452575835	0.000125626926682193	0	0.000231926633874818	0	0.0026091746310917	0	5.79816584687044e-05	0	4.83180487239203e-05	0	0.000106299707192625	0.00367217170301795	0	0	0.00057015297494226	0	0.000386544389791363	0	0	0	0	0.00426165189744977	0	0	0	0	0.00489945014060552	0	0	0.000173944975406113	0	0	0	0	0	0	0	0.000444526048260067	0.00211633053410771	0	0.000135290536426977	0	0.000241590243619602	0	0	0	0.000280244682598738	0	0	0	4.83180487239203e-05	0	4.83180487239203e-05	0	1.93272194895681e-05	0	7.73088779582725e-05	0	0.000579816584687044	0.00180709502227462	0	0	0.00083107043805143	0.000376880780046579	0	0.00253186575313343	0.00907412955035224	0.000850397657540998	0.00238691160696166	0.000241590243619602	0.00119828760835322	0.000222263024130034	0.000251253853364386	0.000106299707192625	0.00172978614431635	0	0.000367217170301795	0	0	0	0.0233666083628879	0.00287009209420087	0	0	0.084894811607928	0.0254346208482717	0.000715107121114021	7.73088779582725e-05	0.00464819628724114	0.000734434340603589	0	0	0.00689015374803104	0.0943748127675612	0.000811743218561862	0.000550825755452692	0	0.00793382360046772	0	0.00483180487239203	0	0.00425198828770499	0.00220330302181077	0.0113160870111421	0.00188440390023289	0.000492844096983987	0.0606488147582648	0	0.000386544389791363	0	0	0.00505406789652207	0.000560489365197476	0.00706409872343715	0	0.000483180487239203	0.00113064234013974	0.000144954146171761	0.0702641064543249	0	0.00516036760371469	0.0040007344343406	0.0032759637034818	0	0.00584648389559436
