feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Peptostreptococcus	sample_type	Healthy volunteer	-3.27530320845319	0.453703453200422	105	45	9.24697105976357e-11	1.71068964605626e-08
Parvimonas	sample_type	Healthy volunteer	-3.53051343698696	0.559553109363953	105	50	7.12464635547062e-09	6.59029787881032e-07
Odoribacter	sample_type	Healthy volunteer	-2.17059456221888	0.439956773904858	105	101	3.11174867405885e-06	0.000191891168233629
Bilophila	sample_type	Healthy volunteer	-1.58817536402112	0.359750449895433	105	102	2.50058384956444e-05	0.00115652003042355
Porphyromonas	sample_type	Healthy volunteer	-1.71296868048038	0.402692954751806	105	104	4.63884912655101e-05	0.00171637417682387
Gemella	sample_type	Healthy volunteer	-2.16425906406761	0.539082307154716	105	60	0.000113183284648662	0.00299127252285748
Hungatella	sample_type	Healthy volunteer	-1.54415310366211	0.383013898842422	105	41	0.000106390138969432	0.00299127252285748
Family_XIII_AD3011_group	sample_type	Healthy volunteer	-1.83590210080008	0.494800147526306	105	80	0.000335754059599667	0.00776431262824231
Anaerotruncus	sample_type	Healthy volunteer	-1.00542485214517	0.289567392794896	105	26	0.000755989999306085	0.0155397944301806
UCG.005	sample_type	Healthy volunteer	-1.6647746416174	0.488460073093742	105	101	0.000934268501010683	0.0172839672686976
Escherichia.Shigella	sample_type	Healthy volunteer	-1.1376512142327	0.345228861631105	105	105	0.00134872189193606	0.0226830500007427
Limosilactobacillus	sample_type	Healthy volunteer	-1.44453729447607	0.46267929648173	105	30	0.00233093981118754	0.0301488470808861
Lachnospiraceae_UCG.010	sample_type	Healthy volunteer	-1.59769923812395	0.509077697871747	105	89	0.00221585685464424	0.0301488470808861
Ruminiclostridium	sample_type	Healthy volunteer	-0.858735899883943	0.276410540214086	105	13	0.00244450111466644	0.0301488470808861
Hydrogenoanaerobacterium	sample_type	Healthy volunteer	-0.760362885923896	0.23999744817409	105	12	0.00201911510966059	0.0301488470808861
Alistipes	sample_type	Healthy volunteer	-1.34621546434593	0.438183498173427	105	105	0.00271811441413513	0.0314281979134375
Granulicatella	sample_type	Healthy volunteer	-1.03519716901914	0.34680021995499	105	42	0.00354252812588796	0.0378667384717438
Eubacterium	sample_type	Healthy volunteer	-0.949528606519966	0.319500473862201	105	20	0.00368433131076426	0.0378667384717438
X.Ruminococcus._gnavus_group	sample_type	Healthy volunteer	1.53692421678569	0.532249958650523	105	66	0.00473146544423377	0.0460695319570131
Cloacibacillus	sample_type	Healthy volunteer	-0.771177783527663	0.276583781294191	105	13	0.00631302142333735	0.0583954481658705
Christensenellaceae_R.7_group	sample_type	Healthy volunteer	-1.14976168059367	0.420457763268074	105	105	0.00735557997671854	0.059164447638823
UCG.002	sample_type	Healthy volunteer	-1.26349914261139	0.461107586999565	105	104	0.00724007850556799	0.059164447638823
UCG.003	sample_type	Healthy volunteer	-1.14598100587894	0.414918461999877	105	95	0.00680535546958723	0.059164447638823
Lactobacillus	sample_type	Healthy volunteer	-1.17158586540486	0.458325342622883	105	36	0.012040469896907	0.0928119554553251
Intestinimonas	sample_type	Healthy volunteer	-0.982768381036119	0.399977828627762	105	59	0.0156787337393106	0.104601958714576
Paludicola	sample_type	Healthy volunteer	-1.09811172116007	0.444432713178332	105	41	0.0151213446819133	0.104601958714576
Oribacterium	sample_type	Healthy volunteer	-0.584135546556468	0.238096261064409	105	14	0.0158316478054494	0.104601958714576
X.Ruminococcus._gauvreauii_group	sample_type	Healthy volunteer	1.09552517089649	0.441767774214376	105	79	0.0147644505020354	0.104601958714576
Prevotella	sample_type	Healthy volunteer	-1.32790425383415	0.549697915892002	105	72	0.0174661742854013	0.105930780349522
Segatella	sample_type	Healthy volunteer	1.7232197362472	0.715186627857652	105	105	0.0177505631937037	0.105930780349522
Anaerococcus	sample_type	Healthy volunteer	-1.18288988222717	0.487504052114787	105	39	0.0169861598858937	0.105930780349522
Methanobrevibacter	sample_type	Healthy volunteer	-1.41927032757436	0.593301065132844	105	40	0.0185625148912719	0.107314539215166
Akkermansia	sample_type	Healthy volunteer	-1.30187439471296	0.550470892554048	105	101	0.0199019862289321	0.111571740980377
Eisenbergiella	sample_type	Healthy volunteer	-0.987743350461918	0.422234287009649	105	30	0.0212483190632175	0.11561585372633
Fusicatenibacter	sample_type	Healthy volunteer	0.979190950809043	0.421153138435506	105	103	0.0220320611949572	0.116455180601916
Desulfovibrio	sample_type	Healthy volunteer	-1.65936813180804	0.727362655198524	105	69	0.0245855550948022	0.122927775474011
Campylobacter	sample_type	Healthy volunteer	-0.764269641511862	0.334064511669273	105	35	0.0241932954120344	0.122927775474011
Alloprevotella	sample_type	Healthy volunteer	-0.734120489801322	0.326043041079752	105	26	0.026470162809549	0.125563592814527
Faecalicatena	sample_type	Healthy volunteer	-0.388806200075221	0.172458815701001	105	15	0.0262822205358131	0.125563592814527
Succinivibrio	sample_type	Healthy volunteer	1.70039938912596	0.758789844106874	105	98	0.0271764887266417	0.125691260360718
Ruthenibacterium	sample_type	Healthy volunteer	-0.889136753430059	0.404070104569248	105	78	0.0300086216611539	0.135404756275938
Butyricimonas	sample_type	Healthy volunteer	-1.38320817834818	0.643652432335815	105	81	0.0339770219959401	0.149660692124974
Mogibacterium	sample_type	Healthy volunteer	-1.05975575685695	0.497681161146812	105	27	0.035605302010144	0.15318560167155
CAG.352	sample_type	Healthy volunteer	-0.932907238829189	0.452864364328106	105	105	0.0419183205365536	0.176247484074146
Victivallis	sample_type	Healthy volunteer	-1.04613450154978	0.517501192077616	105	72	0.0458205055672396	0.186633809157203
CAG.196	sample_type	Healthy volunteer	1.14001404649498	0.565489852897726	105	51	0.0464062444390884	0.186633809157203
Lachnospira	sample_type	Healthy volunteer	1.22513967087515	0.626019077547482	105	93	0.053050374467994	0.208815303756998
Comamonas	sample_type	Healthy volunteer	-0.67676348823918	0.353378637696727	105	76	0.0582506877205765	0.224507858923055
Enterocloster	sample_type	Healthy volunteer	-0.620414290108062	0.329810728159437	105	99	0.0627794368380023	0.237024404388376
