feature	Campylobacter	Blastocystis	Methanosphaera	Methanobrevibacter	Bilophila	Desulfovibrio	Pseudomonas	Acinetobacter	Escherichia.Shigella	Klebsiella	Succinivibrio	Haemophilus	Comamonas	Sutterella	Methylophilus	Oxalobacter	Enhydrobacter	Akkermansia	Sphingomonas	Paracoccus	Pyramidobacter	Cloacibacillus	Peptococcus	Eubacterium	Turicibacter	Staphylococcus	Granulicatella	Enterococcus	Gemella	Weissella	Leuconostoc	Ligilactobacillus	Lactobacillus	Limosilactobacillus	Phascolarctobacterium	Acidaminococcus	Mitsuokella	Megamonas	Veillonella	Megasphaera	Allisonella	Dialister	Fusobacterium	Treponema	Victivallis	Thomasclavelia	Erysipelotrichaceae_UCG.003	Catenibacterium	Holdemanella	X.Clostridium._innocuum_group	Holdemania	Solobacterium	Anaeroplasma	Asteroleplasma	UCG.004	Zag_111	Corynebacterium	Lawsonella	Rothia	Kocuria	Schaalia	Scardovia	Bifidobacterium	Actinomyces	F0332	Denitrobacterium	Raoultibacter	Eggerthella	Senegalimassilia	Adlercreutzia	Slackia	Gordonibacter	Collinsella	Parolsenella	Lancefieldella	Olsenella	Tractidigestivibacter	Parvimonas	Peptoniphilus	Family_XIII_UCG.001	Mogibacterium	Family_XIII_AD3011_group	S5.A14a	X.Eubacterium._sulci_group	Anaerococcus	Clostridium	Christensenellaceae_R.7_group	Monoglobus	Defluviitaleaceae_UCG.011	Lachnospiraceae_UCG.010	NK4A214_group	Acutalibacter	DTU089	Ruminococcus	CAG.352	Candidatus_Soleaferrea	Elusimicrobium	Papillibacter	UCG.005	UCG.002	Fournierella	Gemmiger	Ruthenibacterium	Faecalibacterium	Colidextribacter	X.Eubacterium._siraeum_group	Intestinimonas	Flavonifractor	Oscillibacter	UCG.003	UCG.009	Paludicola	Angelakisella	Anaerotruncus	Agathobaculum	UCG.008	GCA.900066575	Coprococcus	X.Eubacterium._ruminantium_group	X.Eubacterium._eligens_group	Anaerobutyricum	Lachnospira	Lachnospiraceae_ND3007_group	Anaerostipes	X.Eubacterium._xylanophilum_group	Lachnospiraceae_UCG.008	Peptostreptococcus	Romboutsia	Terrisporobacter	Intestinibacter	Lactococcus	Streptococcus	X.Eubacterium._ventriosum_group	Prevotellaceae_NK3B31_group	Hoylesella	Leyella	Prevotella	Massiliprevotella	Segatella	Prevotellaceae_UCG.003	Paraprevotella	Lachnospiraceae_NK3A20_group	Howardella	Fusicatenibacter	Lachnoclostridium	Lachnospiraceae_UCG.004	X.Ruminococcus._gnavus_group	Eisenbergiella	X.Ruminococcus._gauvreauii_group	Faecalimonas	Roseburia	Butyribacter	Agathobacter	Faecalicatena	Tyzzerella	Mediterraneibacter	Lachnospiraceae_FCS020_group	Blautia	CAG.56	Porphyromonas	Rikenellaceae_RC9_gut_group	Alistipes	Butyricimonas	Odoribacter	Bacteroides	Parabacteroides	Barnesiella	Butyrivibrio	Lachnospiraceae_NK4A136_group	Enterocloster	Hungatella	Moryella	Lachnoanaerobaculum	Dorea	Oribacterium
ERR9830889	0	0	0	0	0	0	0	19	590	0	0	4	0	0	9	0	0	0	0	0	8	0	0	0	0	10	0	0	0	806	4	1998	411	93	0	0	0	0	2	0	0	803	0	0	0	15	0	0	0	0	0	0	0	234	0	0	12	0	0	9	0	0	24158	4	0	0	0	26	0	0	0	0	1082	0	0	5	0	0	0	0	0	0	0	0	0	68	0	33	0	0	0	23	0	0	0	0	0	0	0	51	0	23	0	2068	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	1997	37	1969	28	1100	0	0	0	203	0	0	0	200	0	0	0	0	0	5	50926	0	0	0	0	81	35	84	0	0	0	0	307	0	1674	0	0	0	0	535	0	0	0	0	0	0	495	0	0	0	60	55	0	0	0	154	0
ERR9830890	0	0	3	0	5	0	0	2	24	26	0	0	0	36	0	0	0	0	0	0	0	0	17	0	0	0	0	32	0	27	0	1899	0	38	0	0	122	28	6	841	0	273	0	3	0	0	0	456	58	0	0	0	0	0	6	0	2	0	0	0	0	0	9906	0	0	4	0	0	291	52	0	0	215	0	0	149	0	0	0	6	12	0	0	0	0	52	21	0	0	16	39	0	0	285	0	0	0	0	50	209	0	610	0	6614	22	9	11	11	8	65	0	0	0	0	0	26	41	187	0	0	84	658	85	63	0	0	0	249	0	0	0	25	0	590	0	1852	0	0	91987	130	156	0	22	64	95	136	0	0	29	0	1490	0	5045	0	0	0	67	599	0	0	80	0	0	27	412	294	0	0	427	94	0	0	0	380	172
ERR9830891	0	0	0	0	57	0	0	0	5646	1461	398	13	0	425	0	0	0	0	7	0	0	0	0	0	0	0	0	26	0	132	3	32	5	0	0	0	77	0	62	58	29	744	0	0	0	0	88	2285	813	0	0	0	0	0	4	0	9	0	8	0	0	7	7548	72	0	0	0	0	705	306	0	32	1199	0	7	0	0	0	0	0	0	157	0	0	0	20	203	0	39	466	429	48	0	1572	1211	0	0	0	805	3832	116	1663	0	38582	64	54	55	0	13	118	14	0	0	0	219	67	65	1497	3551	219	600	1353	261	252	130	141	0	26	0	9	0	8974	162	514	4	654	2	807	33098	0	69	0	0	409	520	373	0	0	319	107	1269	287	6597	0	0	292	128	3989	375	0	42	48	16	0	599	68	0	0	2614	360	0	0	0	1645	0
ERR9830892	0	0	33	7	7	0	0	0	0	0	122	0	0	312	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	22	0	653	0	42	0	0	39	0	0	662	7	1681	0	0	0	0	0	814	446	0	0	0	0	808	5	61	0	0	0	0	0	0	7411	6	0	0	0	0	167	44	70	0	379	354	4	0	9	0	0	0	21	18	0	0	0	24	216	60	18	0	73	19	0	1637	391	0	0	0	266	572	145	1088	0	22892	10	0	22	4	0	192	4	0	0	0	283	215	31	535	763	148	409	570	247	0	31	56	0	605	0	0	0	110	64	0	7	0	0	0	58410	0	141	0	41	1327	73	237	0	0	258	0	801	323	7027	0	0	36	156	1605	102	0	0	66	0	6	3444	221	8	0	582	50	0	0	0	383	0
ERR9830893	0	20	675	1196	14	0	0	0	1163	17	14	5	0	494	0	0	0	3565	0	0	0	0	80	2	322	0	0	0	0	42	0	32	40	0	171	0	0	0	162	0	0	384	240	0	0	0	0	480	1310	0	5	0	0	0	3	0	0	0	0	0	22	0	105	0	0	0	0	9	102	152	65	0	454	0	0	0	0	0	0	16	0	272	5	4	0	4547	6932	334	35	27	1287	83	0	520	9395	48	0	28	4948	6290	255	1488	15	13346	116	3971	166	133	72	212	25	35	57	6	0	694	10	852	0	330	270	0	438	895	165	104	46	1161	1005	264	0	401	5	0	0	1002	0	723	7035	0	57	0	120	444	125	270	0	12	390	35	188	0	165	0	0	98	111	2848	0	0	0	48	51	49	3399	883	7	561	6097	50	0	61	0	796	0
ERR9830894	0	0	0	0	40	0	11	0	73	0	0	0	0	110	0	0	0	5459	0	7	0	0	0	0	0	0	10	0	3	59	0	412	0	0	0	36	0	1030	7	583	0	415	46	0	0	28	546	0	0	5	0	0	0	0	0	7	0	0	11	0	72	0	11881	8	0	0	0	0	0	115	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	29	0	7	0	0	0	0	0	0	8	268	0	1897	15	27493	0	0	0	33	0	89	0	0	0	0	480	0	112	78	0	0	220	2284	175	0	0	0	0	0	0	0	0	196	51	0	8	0	33	0	166	0	357	0	0	705	915	1367	0	0	227	22	1826	0	1173	0	53	158	0	2273	0	0	0	1168	0	259	60152	98	91	0	0	384	20	54	2	462	0
ERR9830895	0	0	0	0	0	0	14	0	205	434	13097	74	0	1686	0	0	0	0	0	0	0	0	0	0	0	11	34	0	5	651	7	356	18	0	0	0	59	0	5	33	0	451	0	18867	0	0	70	2378	1126	0	0	131	20	14	41	0	7	0	10	0	0	0	1048	11	0	0	0	0	722	243	179	0	657	246	0	386	0	0	0	0	48	22	0	0	0	1127	14	21	18	0	73	0	0	308	365	0	0	0	126	470	73	171	0	7640	22	15	22	0	0	78	6	0	0	0	139	78	0	1032	119	1724	125	6054	85	87	0	29	0	2689	63	219	134	637	113	173	0	1955	0	282	135470	193	0	55	25	58	51	114	0	0	65	0	1851	25	17912	0	0	255	20	662	17	0	638	0	0	0	94	8	0	221	466	14	0	0	0	816	114
ERR9830896	0	0	0	7	0	0	11	8	68	216	0	57	0	623	0	0	0	0	0	0	0	0	0	0	639	0	0	0	10	263	0	1337	54	0	3	0	120	0	12	266	0	976	0	145	16	0	0	3959	891	0	4	0	0	1459	20	8	15	0	12	18	133	0	24637	17	0	0	0	0	1185	326	184	0	1289	1147	0	0	186	0	0	0	28	10	0	9	0	202	114	0	0	0	35	0	0	63	131	0	376	0	13	233	0	584	0	4821	0	0	0	2	0	0	0	0	0	0	13	0	0	155	52	452	47	1462	29	0	0	36	0	12401	0	68	0	476	12	0	6	256	0	0	149660	0	6	0	78	0	140	78	0	0	28	0	255	0	1167	0	4	105	0	362	0	0	438	15	0	8	129	0	0	0	87	91	0	0	0	655	222
ERR9830897	8	16	332	1099	97	210	2	0	1169	1207	9147	53	1109	1286	0	0	3	0	0	0	6	0	110	3	593	0	0	366	0	49	0	78	10	44	9	0	242	0	104	381	31	521	97	25	157	0	0	777	1363	0	0	15	0	1472	0	2394	0	0	0	40	0	0	2058	74	0	0	0	0	392	0	39	0	1204	0	3	928	0	174	2	33	50	698	0	7	0	3326	2872	255	46	219	840	72	0	1443	1224	0	0	0	3713	4673	71	404	14	7164	112	1172	77	93	71	327	216	0	0	4	88	38	71	305	0	113	80	277	153	584	34	64	91	1202	97	250	57	806	0	0	35	1146	232	2030	33850	0	67	0	0	272	131	390	0	0	59	18	2767	56	467	0	0	60	37	1209	17	0	94	103	8	29	2134	178	380	5821	3403	69	11	21	0	1086	0
ERR9830898	0	0	0	0	0	0	0	6	86	0	23	8	4	43	0	0	0	506	0	0	0	0	4	0	0	5	18	0	0	37	0	0	382	0	0	0	0	878	46	0	0	94	0	0	0	0	4581	1284	5186	0	16	5	0	0	9	0	0	0	0	0	14	0	20095	3	0	0	4	4	179	0	88	0	967	0	8	0	0	0	0	8	0	15	0	0	3	13	64	95	0	106	8	21	0	33	1836	0	0	0	240	359	79	740	10	46322	78	0	0	14	0	107	0	0	0	0	268	170	15	937	0	385	554	161	358	966	0	109	0	12	0	95	0	4866	13	0	0	0	0	0	29298	0	102	0	55	906	184	756	0	0	265	39	11639	0	432	0	0	1360	86	5745	516	0	0	294	10	18	7801	204	262	0	439	128	0	22	0	2057	0
