feature	Campylobacter	Blastocystis	Methanosphaera	Methanobrevibacter	Bilophila	Desulfovibrio	Pseudomonas	Acinetobacter	Escherichia.Shigella	Klebsiella	Succinivibrio	Haemophilus	Comamonas	Sutterella	Methylophilus	Oxalobacter	Enhydrobacter	Akkermansia	Sphingomonas	Paracoccus	Pyramidobacter	Cloacibacillus	Peptococcus	Eubacterium	Turicibacter	Staphylococcus	Granulicatella	Enterococcus	Gemella	Weissella	Leuconostoc	Ligilactobacillus	Lactobacillus	Limosilactobacillus	Phascolarctobacterium	Acidaminococcus	Mitsuokella	Megamonas	Veillonella	Megasphaera	Allisonella	Dialister	Fusobacterium	Treponema	Victivallis	Thomasclavelia	Erysipelotrichaceae_UCG.003	Catenibacterium	Holdemanella	X.Clostridium._innocuum_group	Holdemania	Solobacterium	Anaeroplasma	Asteroleplasma	UCG.004	Zag_111	Corynebacterium	Lawsonella	Rothia	Kocuria	Schaalia	Scardovia	Bifidobacterium	Actinomyces	F0332	Denitrobacterium	Raoultibacter	Eggerthella	Senegalimassilia	Adlercreutzia	Slackia	Gordonibacter	Collinsella	Parolsenella	Lancefieldella	Olsenella	Tractidigestivibacter	Parvimonas	Peptoniphilus	Family_XIII_UCG.001	Mogibacterium	Family_XIII_AD3011_group	S5.A14a	X.Eubacterium._sulci_group	Anaerococcus	Clostridium	Christensenellaceae_R.7_group	Monoglobus	Defluviitaleaceae_UCG.011	Lachnospiraceae_UCG.010	NK4A214_group	Acutalibacter	DTU089	Ruminococcus	CAG.352	Candidatus_Soleaferrea	Elusimicrobium	Papillibacter	UCG.005	UCG.002	Fournierella	Gemmiger	Ruthenibacterium	Faecalibacterium	Colidextribacter	X.Eubacterium._siraeum_group	Intestinimonas	Flavonifractor	Oscillibacter	UCG.003	UCG.009	Paludicola	Angelakisella	Anaerotruncus	Agathobaculum	UCG.008	GCA.900066575	Coprococcus	X.Eubacterium._ruminantium_group	X.Eubacterium._eligens_group	Anaerobutyricum	Lachnospira	Lachnospiraceae_ND3007_group	Anaerostipes	X.Eubacterium._xylanophilum_group	Lachnospiraceae_UCG.008	Peptostreptococcus	Romboutsia	Terrisporobacter	Intestinibacter	Lactococcus	Streptococcus	X.Eubacterium._ventriosum_group	Prevotellaceae_NK3B31_group	Hoylesella	Leyella	Prevotella	Massiliprevotella	Segatella	Prevotellaceae_UCG.003	Paraprevotella	Lachnospiraceae_NK3A20_group	Howardella	Fusicatenibacter	Lachnoclostridium	Lachnospiraceae_UCG.004	X.Ruminococcus._gnavus_group	Eisenbergiella	X.Ruminococcus._gauvreauii_group	Faecalimonas	Roseburia	Butyribacter	Agathobacter	Faecalicatena	Tyzzerella	Mediterraneibacter	Lachnospiraceae_FCS020_group	Blautia	CAG.56	Porphyromonas	Rikenellaceae_RC9_gut_group	Alistipes	Butyricimonas	Odoribacter	Bacteroides	Parabacteroides	Barnesiella	Butyrivibrio	Lachnospiraceae_NK4A136_group	Enterocloster	Hungatella	Moryella	Lachnoanaerobaculum	Dorea	Oribacterium
ERR9830889	0	0	0	0	0	0	0	0.000205205745760881	0.00637217842099579	0	0	4.32012096338697e-05	0	0	9.72027216762069e-05	0	0	0	0	0	8.64024192677395e-05	0	0	0	0	0.000108003024084674	0	0	0	0.00870504374122475	4.32012096338697e-05	0.0215790042121179	0.00443892428988012	0.00100442812398747	0	0	0	0	2.16006048169349e-05	0	0	0.00867264283399935	0	0	0	0.000162004536127012	0	0	0	0	0	0	0	0.00252727076358138	0	0	0.000129603628901609	0	0	9.72027216762069e-05	0	0	0.260913705583756	4.32012096338697e-05	0	0	0	0.000280807862620153	0	0	0	0	0.0116859272059618	0	0	5.40015120423372e-05	0	0	0	0	0	0	0	0	0	0.000734420563775786	0	0.000356409979479425	0	0	0	0.000248406955394751	0	0	0	0	0	0	0	0.000550815422831839	0	0.000248406955394751	0	0.0223350253807107	0	0	0	0	0	0	0	0	0	0	0.000831623285451993	0	0	0	0	0.0215682039097095	0.000399611189113295	0.0212657954422724	0.000302408467437088	0.0118803326493142	0	0	0	0.00219246138891889	0	0	0	0.00216006048169349	0	0	0	0	0	5.40015120423372e-05	0.550016200453613	0	0	0	0	0.000874824495085862	0.00037801058429636	0.000907225402311265	0	0	0	0	0.0033156928393995	0	0.0180797062317745	0	0	0	0	0.00577816178853008	0	0	0	0	0	0	0.00534614969219138	0	0	0	0.000648018144508046	0.000594016632465709	0	0	0	0.00166324657090399	0
ERR9830890	0	0	2.34142686553186e-05	0	3.90237810921976e-05	0	0	1.5609512436879e-05	0.000187314149242548	0.000202923661679427	0	0	0	0.000280971223863823	0	0	0	0	0	0	0	0	0.000132680855713472	0	0	0	0	0.000249752198990065	0	0.000210728417897867	0	0.0148212320588166	0	0.000296580736300702	0	0	0.000952180258649621	0.000218533174116306	4.68285373106371e-05	0.00656379997970763	0	0.00213069844763399	0	2.34142686553186e-05	0	0	0	0.00355896883560842	0.000452675860669492	0	0	0	0	0	4.68285373106371e-05	0	1.5609512436879e-05	0	0	0	0	0	0.0773139150998619	0	0	3.12190248737581e-05	0	0	0.0022711840595659	0.000405847323358855	0	0	0.0016780225869645	0	0	0.00116290867654749	0	0	0	4.68285373106371e-05	9.36570746212742e-05	0	0	0	0	0.000405847323358855	0.00016389988058723	0	0	0.000124876099495032	0.000304385492519141	0	0	0.00222435552225526	0	0	0	0	0.000390237810921976	0.00163119404965386	0	0.00476090129324811	0	0.051620657628759	0.000171704636805669	7.02428059659557e-05	8.58523184028347e-05	8.58523184028347e-05	6.24380497475161e-05	0.000507309154198569	0	0	0	0	0	0.000202923661679427	0.00031999500495602	0.00145948941284819	0	0	0.000655599522348919	0.0051355295917332	0.000663404278567359	0.00049169964176169	0	0	0	0.00194338429839144	0	0	0	0.000195118905460988	0	0.00460480616887932	0	0.01445440851655	0	0	0.717936110265596	0.00101461830839714	0.00121754197007656	0	0.000171704636805669	0.000499504397980129	0.000741451840751754	0.00106144684570777	0	0	0.000226337930334746	0	0.0116290867654749	0	0.0393749951220274	0	0	0	0.000522918666635448	0.00467504897484527	0	0	0.000624380497475161	0	0	0.000210728417897867	0.00321555956199708	0.00229459832822122	0	0	0.00333263090527367	0.000733647084533315	0	0	0	0.00296580736300702	0.0013424180695716
ERR9830891	0	0	0	0	0.00039460020768432	0	0	0	0.0390861889927311	0.0101142263759086	0.00275527864312911	8.99965385946694e-05	0	0.00294219453097958	0	0	0	0	4.84596746278989e-05	0	0	0	0	0	0	0	0	0.000179993077189339	0	0.000913811007268951	2.07684319833853e-05	0.000221529941156109	3.46140533056421e-05	0	0	0	0.000533056420906888	0	0.000429214260989962	0.000401523018345448	0.000200761509172724	0.00515057113187954	0	0	0	0	0.000609207338179301	0.0158186223606784	0.0056282450674974	0	0	0	0	0	2.76912426445137e-05	0	6.23052959501558e-05	0	5.53824852890273e-05	0	0	4.84596746278989e-05	0.0522533748701973	0.000498442367601246	0	0	0	0	0.00488058151609553	0.0021183800623053	0	0.000221529941156109	0.00830044998269297	0	4.84596746278989e-05	0	0	0	0	0	0	0.00108688127379716	0	0	0	0.000138456213222568	0.00140533056420907	0	0.000269989615784008	0.00322602976808584	0.00296988577362409	0.000332294911734164	0	0.0108826583592939	0.00838352371062651	0	0	0	0.00557286258220838	0.0265282104534441	0.000803046036690896	0.0115126341294566	0	0.267095880927657	0.000443059882312219	0.000373831775700935	0.000380754586362063	0	8.99965385946694e-05	0.000816891658013153	9.69193492557979e-05	0	0	0	0.00151609553478712	0.000463828314295604	0.000449982692973347	0.0103634475597092	0.024582900657667	0.00151609553478712	0.00415368639667705	0.00936656282450675	0.00180685358255452	0.00174454828660436	0.000899965385946694	0.000976116303219107	0	0.000179993077189339	0	6.23052959501558e-05	0	0.0621253028729664	0.0011214953271028	0.00355832467982001	2.76912426445137e-05	0.00452751817237799	1.38456213222568e-05	0.00558670820353063	0.229131187262028	0	0.000477673935617861	0	0	0.00283142956040152	0.00359986154378678	0.0025822083766009	0	0	0.00220837660089997	0.000740740740740741	0.00878504672897196	0.00198684665974386	0.0456697819314642	0	0	0.0020214607130495	0.000886119764624438	0.0276150917272413	0.00259605399792316	0	0.000290758047767394	0.000332294911734164	0.000110764970578055	0	0.00414676358601592	0.000470751124956732	0	0	0.0180962270681897	0.00249221183800623	0	0	0	0.0113880235375562	0
ERR9830892	0	0	0.000272230059148167	5.77457701223385e-05	5.77457701223385e-05	0	0	0	0	0	0.00100642627927504	0	0	0.00257381146830995	0	0	0	0	0	0	0	0	0.000107242144512914	0	0	0	0	0	0	0.000181486706098778	0	0.00538685541284101	0	0.000346474620734031	0	0	0.000321726433538743	0	0	0.00546109997442687	5.77457701223385e-05	0.013867234225093	0	0	0	0	0	0.0067150081256548	0.00367923049636614	0	0	0	0	0.00666551175126422	4.12469786588132e-05	0.000503213139637522	0	0	0	0	0	0	0.061136271768093	4.94963743905759e-05	0	0	0	0	0.00137764908720436	0.000362973412197557	0.000577457701223385	0	0.00312652098233804	0.00292028608904398	3.29975829270506e-05	0	7.42445615858638e-05	0	0	0	0.000173237310367016	0.000148489123171728	0	0	0	0.000197985497562304	0.00178186947806073	0.000494963743905759	0.000148489123171728	0	0.000602205888418673	0.00015673851890349	0	0.0135042608128955	0.0032255137311192	0	0	0	0.00219433926464886	0.00471865435856824	0.00119616238110558	0.00897534255615776	0	0.188845167091511	8.24939573176265e-05	0	0.000181486706098778	3.29975829270506e-05	0	0.00158388398049843	3.29975829270506e-05	0	0	0	0.00233457899208883	0.00177362008232897	0.000255731267684642	0.00441342671649302	0.0062942889433349	0.00122091056830087	0.00337400285429092	0.00470215556710471	0.00203760074574537	0	0.000255731267684642	0.000461966160978708	0	0.0049908844177164	0	0	0	0.000907433530493891	0.000527961326832809	0	5.77457701223385e-05	0	0	0	0.481847204692256	0	0.00116316479817853	0	0.000338225225002269	0.010946948136049	0.000602205888418673	0.00195510678842775	0	0	0.00212834409879476	0	0.00660776598114188	0.00266455482135934	0.0579685038070961	0	0	0.000296978246343455	0.00128690573415497	0.0132402801494791	0.00084143836463979	0	0	0.000544460118296335	0	4.94963743905759e-05	0.0284109189001906	0.00182311645671955	6.59951658541012e-05	0	0.00480114831588586	0.000412469786588132	0	0	0	0.00315951856526509	0
ERR9830893	0	0.000203504344817762	0.00686827163759946	0.0121695598201022	0.000142453041372433	0	0	0	0.0118337776511529	0.000172978693095098	0.000142453041372433	5.08760862044405e-05	0	0.00502655731699872	0	0	0	0.0362746494637661	0	0	0	0	0.000814017379271047	2.03504344817762e-05	0.00327641995156597	0	0	0	0	0.0004273591241173	0	0.000325606951708419	0.000407008689635524	0	0.00173996214819186	0	0	0	0.00164838519302387	0	0	0.00390728342050103	0.00244205213781314	0	0	0	0	0.00488410427562629	0.0133295345855634	0	5.08760862044405e-05	0	0	0	3.05256517226643e-05	0	0	0	0	0	0.000223854779299538	0	0.00106839781029325	0	0	0	0	9.15769551679928e-05	0.00103787215857059	0.00154663302061499	0.000661389120657726	0	0.00461954862736319	0	0	0	0	0	0	0.000162803475854209	0	0.00276765908952156	5.08760862044405e-05	4.07008689635524e-05	0	0.0462667127943182	0.0705346059138363	0.00339852255845662	0.000356132603431083	0.000274730865503978	0.013095504589023	0.000844543030993712	0	0.00529111296526181	0.0955961659781436	0.000488410427562628	0	0.000284906082744867	0.0503469749079143	0.0640021164451861	0.00259468039642646	0.0151407232544415	0.000152628258613321	0.135798449296892	0.00118032519994302	0.0404057876635666	0.00168908606198742	0.00135330389303812	0.000732615641343943	0.00215714605506828	0.000254380431022202	0.000356132603431083	0.000579987382730621	6.10513034453286e-05	0	0.00706160076517634	0.000101752172408881	0.00866928508923666	0	0.00335782168949307	0.00274730865503978	0	0.00445674515150898	0.00910681943059484	0.00167891084474654	0.00105822259305236	0.000468059993080852	0.0118134272166711	0.0102260933270925	0.00268625735159446	0	0.00408026211359612	5.08760862044405e-05	0	0	0.0101955676753699	0	0.00735668206516209	0.0715826532896477	0	0.000579987382730621	0	0.00122102606890657	0.00451779645495431	0.00127190215511101	0.00274730865503978	0	0.000122102606890657	0.00396833472394636	0.000356132603431083	0.00191294084128696	0	0.00167891084474654	0	0	0.000997171289607033	0.00112944911373858	0.0289790187020493	0	0	0	0.000488410427562628	0.000518936079285293	0.000498585644803517	0.0345855634017786	0.00898471682370419	7.12265206862166e-05	0.00570829687213822	0.0620382995176947	0.000508760862044405	0	0.000620688251694174	0	0.00809947292374692	0
ERR9830894	0	0	0	0	0.000316315556399064	0	8.69867780097425e-05	0	0.000577275890428291	0	0	0	0	0.000869867780097425	0	0	0	0.0431691655595622	0	5.53552223698361e-05	0	0	0	0	0	0	7.90788890997659e-05	0	2.37236667299298e-05	0.000466565445688619	0	0.00325805023091036	0	0	0	0.000284684000759157	0	0.00814512557727589	5.53552223698361e-05	0.00461029923451635	0	0.00328177389764029	0.000363762889858923	0	0	0.000221420889479345	0.00431770734484722	0	0	3.9539444549883e-05	0	0	0	0	0	5.53552223698361e-05	0	0	8.69867780097425e-05	0	0.000569368001518315	0	0.0939536281394319	6.32631112798127e-05	0	0	0	0	0	0.000909407224647308	0	0	0.000450749667868666	0	0	0	0	0	0	0	0	0	0	0	0	0.000134434111469602	0	0	0	0.000229328778389321	0	5.53552223698361e-05	0	0	0	0	0	0	6.32631112798127e-05	0.00211931422787373	0	0.0150012652622256	0.000118618333649649	0.217411589801986	0	0	0	0.000260960334029228	0	0.000703802112987917	0	0	0	0	0.00379578667678876	0	0.000885683557917378	0.000616815334978174	0	0	0.00173973556019485	0.0180616182703865	0.0013838805592459	0	0	0	0	0	0	0	0	0.00154994622635541	0.000403302334408806	0	6.32631112798127e-05	0	0.000260960334029228	0	0.00131270955905611	0	0.00282311634086164	0	0	0.0055750616815335	0.00723571835262858	0.010810084139938	0	0	0.00179509078256469	0.000173973556019485	0.0144398051496173	0	0.00927595369140254	0	0.000419118112228759	0.0012494464477763	0	0.0179746314923768	0	0	0	0.00923641424685266	0	0.00204814322768394	0.475675333712912	0.000774973113177706	0.00071961789080787	0	0	0.00303662934143101	0.000158157778199532	0.000427026001138736	1.58157778199532e-05	0.00365344467640919	0
ERR9830895	0	0	0	0	0	0	6.11898809419745e-05	0	0.00089599468522177	0.00189688630920121	0.0572431336212172	0.000323432227836151	0	0.00736900994772636	0	0	0	0	0	0	0	0	0	0	0	4.80777635972657e-05	0.000148603996573367	0	2.1853528907848e-05	0.00284532946380181	3.05949404709873e-05	0.00155597125823878	7.86727040682529e-05	0	0	0	0.000257871641112607	0	2.1853528907848e-05	0.000144233290791797	0	0.00197118830748789	0	0.0824621059808738	0	0	0.000305949404709873	0.0103935383485725	0.00492141471004738	0	0	0.000572562457385619	8.74141156313922e-05	6.11898809419745e-05	0.000179198937044354	0	3.05949404709873e-05	0	4.37070578156961e-05	0	0	0	0.00458049965908495	4.80777635972657e-05	0	0	0	0	0.00315564957429326	0.00106208150492141	0.00078235633490096	0	0.00287155369849123	0.00107519362226612	0	0.00168709243168587	0	0	0	0	0.000209793877515341	9.61555271945314e-05	0	0	0	0.00492578541582895	6.11898809419745e-05	9.17848214129618e-05	7.86727040682529e-05	0	0.000319061522054581	0	0	0.00134617738072344	0.00159530761027291	0	0	0	0.000550708928477771	0.00205423171733772	0.000319061522054581	0.000747390688648403	0	0.0333921921711918	9.61555271945314e-05	6.55605867235441e-05	9.61555271945314e-05	0	0	0.000340915050962429	2.62242346894176e-05	0	0	0	0.000607528103638175	0.000340915050962429	0	0.00451056836657984	0.000520113988006783	0.007535096767426	0.000546338222696201	0.0264602528016224	0.000371509991433417	0.000380251402996556	0	0.000126750467665519	0	0.0117528278466407	0.000275354464238885	0.000957184566163744	0.000585674574730327	0.00278413958285984	0.000493889753317366	0.000756132100211542	0	0.00854472980296858	0	0.00123253903040263	0.592099512229235	0.000843546215842934	0	0.000240388817986328	0.00010926764453924	0.000253500935331037	0.00022290599486005	0.000498260459098935	0	0	0.000284095875802024	0	0.00809017640168534	0.00010926764453924	0.0782880819594748	0	0	0.00111452997430025	8.74141156313922e-05	0.00289340722739908	7.43019982866833e-05	0	0.00278851028864141	0	0	0	0.000410846343467543	3.49656462525569e-05	0	0.000965925977726883	0.00203674889421144	6.11898809419745e-05	0	0	0	0.0035664959177608	0.000498260459098935
ERR9830896	0	0	0	3.24171625720703e-05	0	0	5.09412554703962e-05	3.70481857966518e-05	0.00031490957927154	0.0010003010165096	0	0.000263968323801144	0	0.00288512746891426	0	0	0	0	0	0	0	0	0	0	0.00295922384050756	0	0	0	4.63102322458147e-05	0.00121795910806493	0	0.00619167805126543	0.000250075254127399	0	1.38930696737444e-05	0	0.000555722786949777	0	5.55722786949777e-05	0.00123185217773867	0	0.00451987866719152	0	0.000671498367564313	7.40963715933035e-05	0	0	0.018334220946118	0.00412624169310209	0	1.85240928983259e-05	0	0	0.00675666288466437	9.26204644916294e-05	3.70481857966518e-05	6.94653483687221e-05	0	5.55722786949777e-05	8.33584180424665e-05	0.000615926088869336	0	0.114094519184014	7.8727394817885e-05	0	0	0	0	0.00548776252112904	0.00150971357121356	0.000852108273322991	0	0.00596938893648552	0.00531178363859495	0	0	0.000861370319772154	0	0	0	0.000129668650288281	4.63102322458147e-05	0	4.16792090212332e-05	0	0.000935466691365457	0.000527936647602288	0	0	0	0.000162085812860352	0	0	0.000291754463148633	0.000606664042420173	0	0.00174126473244263	0	6.02033019195591e-05	0.00107902841132748	0	0.00270451756315558	0	0.0223261629657073	0	0	0	9.26204644916294e-06	0	0	0	0	0	0	6.02033019195591e-05	0	0	0.000717808599810128	0.000240813207678237	0.00209322249751083	0.000217658091555329	0.00677055595433811	0.000134299673512863	0	0	0.000166716836084933	0	0.0574293190080348	0	0.00031490957927154	0	0.00220436705490078	5.55722786949777e-05	0	2.77861393474888e-05	0.00118554194549286	0	0	0.693078935790863	0	2.77861393474888e-05	0	0.000361219811517355	0	0.000648343251441406	0.000361219811517355	0	0	0.000129668650288281	0	0.00118091092226828	0	0.00540440410308658	0	1.85240928983259e-05	0.000486257438581054	0	0.00167643040729849	0	0	0.00202838817236668	6.94653483687221e-05	0	3.70481857966518e-05	0.00059740199597101	0	0	0	0.000402899020538588	0.000421423113436914	0	0	0	0.00303332021210086	0.00102808715585709
ERR9830897	6.71225405881613e-05	0.000134245081176323	0.00278558543440869	0.00922095901329865	0.000813860804631455	0.00176196669043923	1.67806351470403e-05	0	0.00980828124344506	0.0101271133112388	0.0767462348449889	0.000444686831396568	0.00930486218903386	0.0107899483995469	0	0	2.51709527205605e-05	0	0	0	5.03419054411209e-05	0	0.000922934933087217	2.51709527205605e-05	0.00497545832109745	0	0	0.00307085623190838	0	0.000411125561102488	0	0.000654444770734572	8.39031757352016e-05	0.000369173973234887	7.55128581616814e-05	0	0.00203045685279188	0	0.000872593027646096	0.00319671099551118	0.000260099844779125	0.004371355455804	0.000813860804631455	0.000209757939338004	0.00131727985904266	0	0	0.00651927675462516	0.011436002852708	0	0	0.000125854763602802	0	0.0123505474682217	0	0.0200864202710073	0	0	0	0.000335612702940806	0	0	0.0172672735663045	0.000620883500440492	0	0	0	0	0.0032890044888199	0	0.000327222385367286	0	0.0101019423585183	0	2.51709527205605e-05	0.00778621470822671	0	0.00145991525779251	1.67806351470403e-05	0.000276880479926165	0.000419515878676008	0.00585644166631707	0	5.87322230146411e-05	0	0.027906196249528	0.0240969920711499	0.00213953098124764	0.000385954608381927	0.00183747954860091	0.00704786676175693	0.000604102865293451	0	0.0121072282585896	0.0102697487099887	0	0	0	0.0311532491504803	0.0392079540210597	0.000595712547719931	0.00338968829970214	0.000117464446029282	0.0601082350966984	0.000939715568234258	0.00983345219616562	0.000646054453161052	0.000780299534337375	0.000595712547719931	0.00274363384654109	0.00181230859588035	0	0	3.35612702940806e-05	0.000738347946469774	0.000318832067793766	0.000595712547719931	0.00255904685992365	0	0.000948105885807778	0.000671225405881613	0.00232411796786508	0.00128371858874858	0.00489994546293577	0.000285270797499685	0.00053698032470529	0.000763518899190334	0.0100851617233712	0.000813860804631455	0.00209757939338004	0.000478248101690649	0.00676259596425725	0	0	0.000293661115073206	0.0096153039392541	0.00194655367705668	0.0170323446742459	0.284012249863657	0	0.000562151277425851	0	0	0.00228216637999748	0.00109913160213114	0.00327222385367286	0	0	0.000495028736837689	0.000151025716323363	0.0232160087259303	0.000469857784117129	0.00391827830683391	0	0	0.000503419054411209	0.000310441750220246	0.0101438939463859	0.000142635398749843	0	0.000788689851910895	0.000864202710072576	6.71225405881613e-05	0.000243319209632085	0.017904937701892	0.00149347652808659	0.00318832067793766	0.0488400385954608	0.0285522507026891	0.000578931912572891	9.22934933087217e-05	0.000176196669043923	0	0.00911188488484289	0
ERR9830898	0	0	0	0	0	0	0	3.83972968303031e-05	0.000550361254567678	0	0.000147189637849495	5.11963957737375e-05	2.55981978868688e-05	0.000275180627283839	0	0	0	0.0032381720326889	0	0	0	0	2.55981978868688e-05	0	0	3.1997747358586e-05	0.000115191890490909	0	0	0.000236783330453536	0	0	0.00244462789819597	0	0	0	0	0.00561880443616769	0.000294379275698991	0	0	0.000601557650341416	0	0	0	0	0.0293163361299365	0.00821702152168487	0.0331880635603254	0	0.000102392791547475	3.1997747358586e-05	0	0	5.75959452454547e-05	0	0	0	0	0	8.95936926040407e-05	0	0.128598946634157	1.91986484151516e-05	0	0	2.55981978868688e-05	2.55981978868688e-05	0.00114551935543738	0	0.000563160353511113	0	0.00618836433915052	0	5.11963957737375e-05	0	0	0	0	5.11963957737375e-05	0	9.59932420757579e-05	0	0	1.91986484151516e-05	8.31941431323235e-05	0.0004095711661899	0.000607957199813133	0	0.000678352244002022	5.11963957737375e-05	0.000134390538906061	0	0.000211185132566667	0.0117495728300728	0	0	0	0.00153589187321213	0.00229743826034647	0.000505564408265658	0.00473566660907072	6.39954947171719e-05	0.296439930628884	0.000499164858793941	0	0	8.95936926040407e-05	0	0.000684751793473739	0	0	0	0	0.00171507925842021	0.00108792341019192	9.59932420757579e-05	0.00599637785499901	0	0.00246382654661112	0.00354535040733132	0.00103032746494647	0.00229103871087475	0.00618196478967881	0	0.000697550892417174	0	7.67945936606063e-05	0	0.000607957199813133	0	0.0311402077293759	8.31941431323235e-05	0	0	0	0	0	0.18749400042237	0	0.000652754046115154	0	0.000351975220944445	0.00579799182137578	0.00117751710279596	0.0048380594006182	0	0	0.00169588061000506	0.00024958242939697	0.0744843563013164	0	0.00276460537178183	0	0	0.00870338728153538	0.000550361254567678	0.0367654117150153	0.00330216752740607	0	0	0.00188146754468485	6.39954947171719e-05	0.000115191890490909	0.0499228854288658	0.00130550809223031	0.0016766819615899	0	0.00280940221808385	0.0008191423323798	0	0.000140790088377778	0	0.0131638732633223	0
