feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Monoglobus	DiseaseClass	Healthy	1.10427423978059	0.571497403967773	113	22	0.0558775609624418	0.81953756078248
g__Streptococcus	DiseaseClass	Healthy	1.42272566022707	0.688759416413806	113	52	0.0411913719408273	0.81953756078248
g__Turicibacter	DiseaseClass	Healthy	1.42453844002281	0.676311325928235	113	23	0.0374288916014189	0.81953756078248
g__Dialister	DiseaseClass	Healthy	0.800354384856354	0.466641884007819	113	15	0.0891106104575921	0.836724799397831
g__Ruthenibacterium	DiseaseClass	Healthy	1.02938365949743	0.611442486286922	113	43	0.0950823635679354	0.836724799397831
g__Actinomyces	DiseaseClass	Healthy	0.232548743308434	0.281702842881044	113	19	0.410852332384901	0.99118663750862
g__Adlercreutzia	DiseaseClass	Healthy	0.017309768411339	0.491012677461862	113	36	0.971941159030686	0.99118663750862
g__Agathobaculum	DiseaseClass	Healthy	0.443471202007639	0.604130382621448	113	37	0.464456656361874	0.99118663750862
g__Akkermansia	DiseaseClass	Healthy	0.608145108186858	0.74043407703494	113	31	0.413215533777509	0.99118663750862
g__Alistipes	DiseaseClass	Healthy	-0.303542772769799	0.576826908869845	113	37	0.599779312262925	0.99118663750862
g__Anaerostipes	DiseaseClass	Healthy	0.0956791094668434	0.571580172502088	113	55	0.867364606926971	0.99118663750862
g__Asaccharobacter	DiseaseClass	Healthy	-0.24937871512656	0.662747168326315	113	37	0.707426765259737	0.99118663750862
g__Bacteroides	DiseaseClass	Healthy	1.27456992989513	0.904028919703996	113	71	0.161371742427486	0.99118663750862
g__Barnesiella	DiseaseClass	Healthy	0.0808319720631062	0.366360043938672	113	15	0.825781697892309	0.99118663750862
g__Bifidobacterium	DiseaseClass	Healthy	-0.2749812813251	0.720902337928419	113	40	0.703605651230776	0.99118663750862
g__Blautia	DiseaseClass	Healthy	0.0117552329017369	1.06179967361086	113	63	0.99118663750862	0.99118663750862
g__Burkholderia	DiseaseClass	Healthy	0.111898022787462	0.525712817937621	113	27	0.831834303212351	0.99118663750862
g__Clostridium	DiseaseClass	Healthy	-0.703417829134686	0.686319228530112	113	28	0.307632422657223	0.99118663750862
g__Collinsella	DiseaseClass	Healthy	-0.228502220513287	0.663675510194812	113	41	0.731273527987873	0.99118663750862
g__Coprococcus	DiseaseClass	Healthy	-0.0744581404022329	0.875582279570804	113	46	0.932384031731826	0.99118663750862
g__Dorea	DiseaseClass	Healthy	0.0883161755964149	0.57786683634808	113	54	0.87880873892694	0.99118663750862
g__Eggerthella	DiseaseClass	Healthy	0.725941443545369	0.697674589025348	113	37	0.300361432950744	0.99118663750862
g__Eisenbergiella	DiseaseClass	Healthy	0.0647578731930858	0.224585977475725	113	14	0.773621666046856	0.99118663750862
g__Enorma	DiseaseClass	Healthy	0.0324614091318773	0.287768059392986	113	15	0.910389645615363	0.99118663750862
g__Erysipelatoclostridium	DiseaseClass	Healthy	0.015505314653183	0.543880663126439	113	21	0.977307646283329	0.99118663750862
g__Escherichia	DiseaseClass	Healthy	0.0756500684417514	0.670023376747972	113	20	0.910308539230328	0.99118663750862
g__Eubacterium	DiseaseClass	Healthy	0.483855896646937	0.61930634468265	113	58	0.436297006475013	0.99118663750862
g__Faecalibacterium	DiseaseClass	Healthy	-0.12469414637329	0.911329790171418	113	87	0.891415732338966	0.99118663750862
g__Firmicutes_unclassified	DiseaseClass	Healthy	-0.510350506819726	0.831339756529163	113	39	0.540544632008114	0.99118663750862
g__Flavonifractor	DiseaseClass	Healthy	0.039686377574841	0.572529911217429	113	17	0.944861568756225	0.99118663750862
g__Fusicatenibacter	DiseaseClass	Healthy	-0.0516217163014473	0.591611415653995	113	51	0.930625148482089	0.99118663750862
g__Gemmiger	DiseaseClass	Healthy	0.82188152171023	0.598756384044209	113	33	0.172628985590722	0.99118663750862
g__Gordonibacter	DiseaseClass	Healthy	0.273519383288719	0.51357025137248	113	45	0.595386023325193	0.99118663750862
g__Intestinibacter	DiseaseClass	Healthy	0.705967257814087	0.648511503784684	113	27	0.278689829501091	0.99118663750862
g__Lachnoclostridium	DiseaseClass	Healthy	-0.374979200981414	0.336458490239601	113	13	0.267476870591876	0.99118663750862
g__Lachnospiraceae_unclassified	DiseaseClass	Healthy	0.280656706819364	0.933459858904237	113	49	0.76423401806125	0.99118663750862
g__Methanobrevibacter	DiseaseClass	Healthy	-0.444083379859615	0.519482274545726	113	16	0.394471316237429	0.99118663750862
g__Oscillibacter	DiseaseClass	Healthy	-0.547651243314141	0.421700913293756	113	17	0.196747932121822	0.99118663750862
g__Parabacteroides	DiseaseClass	Healthy	-0.722559756395436	0.860125448663286	113	49	0.402678746430039	0.99118663750862
g__Phascolarctobacterium	DiseaseClass	Healthy	-0.301108384334598	0.455518423347405	113	17	0.509966915829797	0.99118663750862
g__Roseburia	DiseaseClass	Healthy	0.103949039978544	0.90574070382416	113	62	0.908837243596399	0.99118663750862
g__Rothia	DiseaseClass	Healthy	-0.164011030088441	0.354305225961273	113	12	0.644335948918336	0.99118663750862
g__Ruminococcaceae_unclassified	DiseaseClass	Healthy	0.0512553101748462	0.601505321235481	113	30	0.932246569517079	0.99118663750862
g__Ruminococcus	DiseaseClass	Healthy	-0.245347120451252	0.84914847819143	113	52	0.773171473452931	0.99118663750862
