feature	g__Actinomyces	g__Adlercreutzia	g__Agathobaculum	g__Akkermansia	g__Alistipes	g__Anaerostipes	g__Asaccharobacter	g__Bacteroides	g__Barnesiella	g__Bifidobacterium	g__Blautia	g__Burkholderia	g__Clostridium	g__Collinsella	g__Coprococcus	g__Dialister	g__Dorea	g__Eggerthella	g__Eisenbergiella	g__Enorma	g__Erysipelatoclostridium	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Firmicutes_unclassified	g__Flavonifractor	g__Fusicatenibacter	g__Gemmiger	g__Gordonibacter	g__Intestinibacter	g__Lachnoclostridium	g__Lachnospiraceae_unclassified	g__Methanobrevibacter	g__Monoglobus	g__Oscillibacter	g__Parabacteroides	g__Phascolarctobacterium	g__Roseburia	g__Rothia	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Streptococcus	g__Turicibacter
SRR5665187	0.01146	0.34728	0.02969	0.11547	7.91766	1.50457	0.62727	0.2176	0.53731	7.6643	4.12149	0	0.61041	25.62205	5.75503	0	5.11397	0.15371	0	0.00598	0.006	0	3.28801	1.14097	2.01511	0	0.73829	0.80421	1.48914	0.02958	0	4.69323	0	4.24391	0.24261	0.0953	0	4.0519	0	0.60575	13.24461	0.47589	0.55766	0.06878
SRR5665186	0	1.53359	0.19617	6.55107	0.12586	10.03801	1.55601	7.66929	0.48382	0	7.39054	0	0	6.22862	5.83556	0	3.90582	0.09118	0.22692	0	0	0.05022	17.40321	2.30662	0	0	8.13077	0.72123	0.24004	0	0	0	3.34265	0.22666	0.42265	0.12999	0	7.63205	0	0.26953	0	0.93037	1.45531	0
SRR5665185	0	0.17698	0.52693	0	2.02676	3.38451	0.56193	8.22262	0.09496	6.21832	7.19696	0	0.04491	4.86475	1.56599	0	4.421	0	0	0	0	0	5.71527	8.938	0.07197	0	6.64601	0.08491	0	0.04749	0	15.56156	0	0	0	1.23242	0.08506	3.42308	0	0	15.19121	0.38706	0.44926	0.1081
SRR5665184	0	0.14675	0.20765	5.73845	0.51627	2.35704	0.11844	7.14396	0.16173	0	1.05692	0	0.3112	1.5912	1.16611	0	1.42384	0.0114	0	0	0	0	0.94338	1.60385	0.61186	0	1.86584	0.02659	0.02253	0	0	8.48985	0	0.17535	0.00836	0.31376	0.20982	1.11818	0	47.87242	13.60211	0.10949	0.94005	0
SRR5665183	0.00994	0.44913	0.50586	0	0	6.45506	0.20294	0.09061	0	0.26322	37.74276	0	0	5.12961	0.88097	0	6.84745	0.37482	0	0	0	0	9.77656	2.73262	0	0	13.99747	1.05615	0.23057	0	0	4.87845	0	0	0	0	0	0.01906	0	0	7.32953	0.00855	0.55859	0
SRR5665182	0.01517	0	0	0.02141	0.05335	4.09196	0	0.24461	0	6.23956	15.00161	0	0	12.00648	0	0	4.40044	0.36108	0	0.00265	0	5.31651	0.66078	5.61825	0	0	12.46117	0.03208	0.0755	0	0	5.20437	0	0	0	0	0	0.06982	0.0915	0	0.14421	0.08596	14.06867	0
SRR5665181	0	0	0.06982	62.85967	0.02661	1.96461	0	1.69818	0	0	1.77024	0	0.04141	3.40222	0.32059	0	0.79462	0	0	0	0	0.2847	0.49451	0.68218	0.36646	0	0.92555	0.02631	0.01283	0	0	0	4.19618	0.74855	0.10019	0.07935	0.07477	0.70454	0	0.10326	16.87106	0.66812	0.14436	0
SRR5665180	0.10665	0.23666	1.85027	0.18776	0	11.53543	0.17065	0.0192	0	28.00883	20.89277	0	0	19.16607	0	0	0.81534	0.32806	0	0.01265	0.14716	0	7.67198	4.84745	0	0	0	0.09455	0.46953	0	0	0	0.04447	0.5611	0	0	0	0.20046	0.1524	0.20447	0.79491	0.16781	1.30496	0
SRR5665179	0.00905	0.17624	0.23506	0	0	6.84304	0.19617	9.96209	0.28661	0	20.83481	0	0.53678	7.13593	3.50977	0	3.03075	0.52636	0	0	0	0.09982	1.72898	2.85134	0.9837	0.34692	7.43027	0	0.27742	0	0	27.77102	0	0.25111	0	0.72496	0	1.95823	0	0	0	0.34021	1.171	0
SRR5665178	0	0	4.57835	0	0	17.40569	0	0.48209	0	12.3684	10.08289	0	0	0	0	0.12509	2.39687	2.83909	0	0	2.28963	0.31429	8.50567	7.09701	0.13276	0.30294	5.46361	0	0.85843	0	0	17.29985	0	0.98781	0	0	0	4.66098	0	0	0	0.13621	0.77807	0
SRR5665177	0	0	0	0	0	0	0	2.56515	0	0	12.23539	5.35299	0	0	0	0	0	0	0	0	0	0	0	2.06434	0	0	0	0	0	29.20421	0	0	0	0	0	4.27358	0	6.49322	0	0	0	0	0	37.81111
SRR5665176	0	0	0	0	0	0	0	4.23187	0	0	0	0.28149	0	0	0	11.46897	0	0	0	0	0	0	0	27.02689	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55973	0	0	0	0.05246	0	0
SRR5665174	0	0	0	0	0	0	0	1.57309	0	0	0	1.14761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.64465	0	0	0	0	0	2.8038	0	0	0	0	3.54225	0	0	4.2886
SRR5665173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90362	12.20071	1.16704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.76051	15.96813	0	0	0
SRR5665172	0	0	0	0	0	0	0	83.43631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.56369	0	0	0	0	0	0	0
SRR5665171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665170	0	0	0	0	0	0	0	0.18605	0	0	0.71884	0	1.39263	0	0	0	0	0	0	0	0	0	0.8374	45.80656	0	0	0	0	0	0.54599	0	0	0	0	0	0	0	24.26586	0	0	0	0	0	24.46348
SRR5665169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665168	0	0	0	0	0	0	0	0	0	0	0	46.24727	29.62629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.89996	0	15.01692	0
SRR5665167	0	0	0	0	0	0	0	21.95071	0	0	0	40.16545	0	0	0	0	0	0	0	0	0	0	0	16.70896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665164	0.06681	0.03337	0.14271	0	0.82243	9.65325	0.00293	3.89951	0.2256	4.18362	12.48022	0	0.36453	10.07547	10.39142	0	7.55542	0	0	0	0	0	4.26761	10.39455	0.71038	0	3.03481	0.23024	0.2077	0.15937	0	14.33408	0.3626	0	0.1399	0.04002	0	2.04823	0	0.02471	0	0.30005	3.15157	0.33733
SRR5665163	0.08059	0.73736	0.34041	19.12087	1.51875	3.96513	1.43674	2.56381	0	0	11.97551	0	0	0	5.02181	0	2.18862	1.47945	0.01318	0	0.0365	0.75973	4.11525	2.29441	1.9749	0.33405	29.88229	0.53326	1.35505	0	0	2.32362	0	1.19541	0	0.25776	0	1.43456	0	1.17106	0.02107	1.10794	0.43638	0
SRR5665162	0	0.01888	0.03718	0	0.14382	0.15522	0.06178	32.08551	0	0.07011	5.22156	0	0	0	0.32734	0.9583	0.09979	0.06644	0.01386	0	0.01861	0	0.13448	5.37611	0	0.05528	0.13289	0.03961	0.02074	0	0.16653	1.53905	0	0	0.10225	5.2763	0	3.95482	0	0.03698	4.09045	0.33733	0.31273	0
SRR5665161	0	0	0	67.39042	0	2.62458	0	0.81886	0	0	1.4362	0	0	3.02126	0.19035	0	0.34748	0	0	0	0	0	0.34268	0.18028	0.18396	0	0.57493	0	0	0	0	0	3.91978	0.57425	0	0	0	0.47347	0	0	17.01675	0.46457	0.01812	0
SRR5665160	0	0	0	0	0	17.0256	0	0	0	34.16998	10.1315	0	0	0.44359	0	0	4.25021	0	0	0	0	3.52001	3.43968	0.3237	0	0	1.27623	0	0	0	0	7.79871	0	0	0	0	0	0	0	0	0	0	13.87362	0
SRR5665159	0	1.21248	0.48598	4.54651	0.20103	0.3624	1.06916	0.77263	0	13.63843	15.55271	0	0	32.14217	2.68458	0.52135	0.33445	0	0	0.01287	0	0	21.0161	1.13176	0	0	0	0.94335	0	0	0	0.56686	0	0	0	0	0	1.48275	0	0	0.87265	0.05842	0.04885	0.34253
SRR5665158	0.13622	0.16578	0	0	0.04459	0.63014	0.20265	5.89384	0	14.44959	4.40808	0	0	27.21455	12.53213	0.05335	3.46971	1.14342	0.32299	0.01356	0	5.2963	3.45739	3.04159	0.25053	0.14702	3.09573	0.05056	0.39505	0	0.41542	5.69414	0	0	0	0.19103	0	1.15753	0	0	0	3.35875	0.62106	0
SRR5665157	0	0	0.4966	24.94748	0.29175	10.75298	0	3.55107	0	9.47881	5.50308	0	0	0.19704	0	0	8.306	1.11147	0	0	2.36319	0	1.44515	2.42497	0	0.49301	10.94645	1.44853	0.09178	0	0	4.59274	0	1.50747	0	0	0.72717	5.07153	0	0	1.621	0.97841	0.55104	0
SRR5665156	0	0.04257	0	3.13533	2.44469	1.14747	0.22017	7.32673	1.02871	39.73193	4.0168	0	0	11.99289	3.84665	0	2.85231	0	0	0.28097	0	0	5.55944	0.96912	0.84794	0	0.22376	0	0.20399	0	0	5.0298	1.8364	0	0.16966	0.24558	0	0.11343	0	0	2.8242	0.90936	2.98449	0
SRR5665155	0.34164	0	0	0	0	9.13186	0	0.21282	0	56.26515	25.59403	0	0	0	0	0.00577	0.8509	0.67203	0	0	0.92804	5.23351	0	0.19553	0	0	0	0	0.05308	0.03624	0.00574	0	0	0	0	0	0	0	0.00216	0	0	0	0.39768	0
SRR5665154	0	0	0	0	0	0	0	0	0	0	0	8.47374	0	0	0	0	0	0	0	0	0	0	0	79.7434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.98242	0	0	0	0
SRR5665153	0	0	0	0	0	0	0	0	0	0	0	0.70912	0	0	0	0	0	0	0	0	0	0	0	37.87812	1.96539	0	0	0	0	0	0	0	0	0	0	59.44736	0	0	0	0	0	0	0	0
SRR5665152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665151	0	0	0	0	0	0	0	9.59648	0.8359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.11921	0	0	0	0	0	0	0	0	0	0	0	0	0	2.44842	0	0	0	0	0	0
SRR5665150	0	0	0	0	28.73069	0	0	18.18656	0	0	0	8.82321	0	0	0	0	0	0	0	0	0	0	0	2.36531	0	0	0	0	0	5.39812	0	0	0	0	0	2.60968	0	0	0	0	0	0	24.07185	5.60252
SRR5665149	0	0	0	0	0	0	0	0	0	0	1.3291	0.95395	0	0	0	0.53718	0	0	0	0	0	0	29.35587	60.03375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665148	0	0	0	0	0	0	0	0	0	0	0	5.70971	0	0	0	0	0	0	0	0	0	0	0	10.86	0	0	0	0	0	46.75057	0	0	0	0	0	0	0	0	0	0	0	0	0	36.67971
SRR5665147	0	0	0	23.36089	0	0	0	5.01271	0	0	0	16.38787	0	0	0	0	0	0	0	0	0	0	0	1.51133	0	0	0.22599	0	0	0	0	0	0	0	0	16.08705	0	0	0	0	32.87742	0	0	0
SRR5665146	0	0	0	0	0	0	0	9.84727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.39084	0	0	0	44.39698	0	0	0	37.3649	0	0	0	0
SRR5665145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665144	0.1127	0.16976	1.09602	1.30898	0.03616	4.51174	0.10492	0.74407	0	7.51631	15.76543	0	0	2.86105	4.0363	0	9.72915	0.06635	0	0	0	0	6.64825	0.37885	1.32713	0	5.93394	0	0.23055	0	0	8.40948	0	0.12432	0	0	0	7.87321	0.21606	0.22832	16.04367	0	4.23366	0
SRR5665133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.46071	0	0	0	0
SRR5665131	0	0	0	0	10.34223	1.79941	0	17.75205	4.67333	0	0.79072	0	0	0.30772	1.42181	0	0	0	0	0	0	0	9.8418	4.73277	0	0	0.21964	0	0	0	0	7.3526	0	0	0.31266	1.7185	1.37615	4.35208	0	0	30.14648	0	0	0
SRR5665130	0	0	0	0	0	0	0	65.03904	0	0	0	34.96096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.83955	0	0	0	0	0	0	0	0	0	0	0	47.16045	0	0	0	0	0	0	0	0
SRR5665128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83808	0	0	0	0	0	0	0	88.03013	3.66266	0	0	0	0	0	0	0	0	0	0	0.35667	0	0	0	0	5.11247	0	0	0
SRR5665127	0	0	0	0	0	0	0	0	0	0	0	0	45.27441	0	0	0	0	0	0	0	0	0	0	33.96476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.47067	0	0	0	0	0	0	0	0
SRR5665125	0	0	0	0	0	0	0	0.67808	0	0	0	0.58388	2.5088	0	0	0	0	0	0	0	0	0	0	20.36079	0	0	0	0	0	26.50374	0	0	0	0	0	0.4094	0	15.61546	0	0	0	0	0	31.29336
SRR5665124	0	0	0	0	0	0	0	0	0	0	0	47.80604	0	0	0	0	0	0	0	0	0	0	0	52.19396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665122	0.26086	0.01492	0.05542	1.76014	0.03795	6.74866	0.03351	0.48227	0	1.60665	11.53479	0	0.05502	10.41385	2.33968	0.02297	2.06076	0.13286	0	0.00162	0.00676	0.64667	5.00197	1.30654	0.01105	0	15.45852	1.61919	0.02726	0.03092	0	9.76869	0.01127	0	0	0	0	5.62894	0.07722	0.09407	14.69143	1.25301	5.27029	0.10228
SRR5665113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.66983	21.19617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.51672
SRR5665111	0	0	0	0	0	0	0	15.96861	0	0	0	15.71399	0.268	0	0	0	0	0	0	0	0	0	0	67.68194	0	0	0	0	0	0.36746	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665110	0	0	0	2.41558	0	0	0	14.40988	0	0	0.31629	0	0	0	0	0	0	0	0	0	0.07027	0	0.21334	1.98115	0	0	0	0	0	0	0	0.7592	0	0	0	1.65562	1.37681	40.62213	0	3.47073	6.40982	0	0	0
SRR5665109	0	0	0	0	0	0	0	4.69413	0	0	0	12.79551	0	0	0	0	0	0	0	0	0	0	0	0.93176	0	0	0.56126	0	0	0	0	2.784	0	0	0	0	0	0	0	51.01819	0	0	0	0
SRR5665108	0	0	0	0	0	0	0	6.01643	0.78664	0	19.11013	0	0	0	0	0	0	0	0	0	0	0	0	35.41219	0	0	0	0	0	38.6746	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665107	0	0	0	0	0	0	0	57.82598	0	0	0	0	0	0	0	24.26781	0	0	0	0	0	0	0	5.73185	6.90134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.273	0	0	0
SRR5665106	0	0	0	0	0	0	0	0	0	0	0	3.687	1.26412	0	0	0	0	0	0	0	0	0	0	23.10201	0	0	0	0	0	41.43459	0	0	0	0	0	0	0	12.09882	0	0	0	0	0.13068	6.33683
SRR5665105	0	0	0	0	0	0	0	0	0	0	0.77253	41.98669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665103	0.00938	0	0	0.06527	0	12.52227	0	0	0	4.13958	33.14626	0	0.08575	0	5.58357	0	1.72773	0	0	0	0.21656	8.26082	0.41261	2.16591	0	0	1.12851	0	0.49067	0	0.25992	15.90122	0	0	0	0	0	0.02647	0	0	0	0	4.75577	0
