feature	g__Actinomyces	g__Adlercreutzia	g__Agathobaculum	g__Akkermansia	g__Alistipes	g__Anaerostipes	g__Asaccharobacter	g__Bacteroides	g__Barnesiella	g__Bifidobacterium	g__Blautia	g__Burkholderia	g__Clostridium	g__Collinsella	g__Coprococcus	g__Dialister	g__Dorea	g__Eggerthella	g__Eisenbergiella	g__Enorma	g__Erysipelatoclostridium	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Firmicutes_unclassified	g__Flavonifractor	g__Fusicatenibacter	g__Gemmiger	g__Gordonibacter	g__Intestinibacter	g__Lachnoclostridium	g__Lachnospiraceae_unclassified	g__Methanobrevibacter	g__Monoglobus	g__Oscillibacter	g__Parabacteroides	g__Phascolarctobacterium	g__Roseburia	g__Rothia	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Streptococcus	g__Turicibacter
SRR5665187	-6.44724914567991	-1.52582876718393	-5.07387909645016	-3.11441001790482	2.98507411651607	0.589351229505136	-0.672841529347261	-2.20024953829911	-0.896173406263221	2.9381540328958	2.04316599444729	-2.82884442376007	-0.712149497668664	4.67931400407653	2.52482344890284	-8.43721296579133	2.35444369734566	-2.70171706856325	-7.24550581942876	-7.38563880023871	-7.38082178394093	-8.22593618196276	1.71721468677156	0.190260858742964	1.01085859414927	-10.1584293626045	-0.43774047727236	-0.314355819355018	0.574479393819999	-5.07923413733774	-8.63522588463128	2.23058116390945	-7.47136867426459	2.08539406154711	-2.04328907759845	-3.39137997563951	-7.7830919871459	2.0185985691824	-9.85475297227334	-0.723205595210741	3.72733345770779	-1.07129995579553	-0.842542302250621	-3.86186707391002
SRR5665186	-7.78786649246624	0.616912834843372	-2.34982366576904	2.71173056430205	-2.99010824686476	3.32740138333026	0.63785133211334	2.93909302350507	-1.04745768665999	-4.83423595493283	2.88567978072596	-2.82884442376007	-9.10979458735361	2.63891255816227	2.54487110845307	-8.43721296579133	1.96562546405034	-3.45513878057205	-2.13974432576589	-10.2697904715522	-8.38082178394093	-4.31559416116531	4.12128152877512	1.20578034937367	-9.52749143308294	-10.1584293626045	3.02339198484382	-0.471468687092333	-2.05865325991529	-6.84559825713022	-8.63522588463128	-7.94075549017056	1.74099230209889	-2.14139828207664	-1.2424646449712	-2.94352745244379	-7.7830919871459	2.93207062293092	-9.85475297227334	-1.89148223399696	-6.56866587561951	-0.104123517367955	0.541326498718303	-7.46625726044699
SRR5665185	-7.78786649246624	-2.49834176017855	-0.924316775075124	-6.5455713940513	1.01917526132108	1.75894697951945	-0.831537670744921	3.03959815774497	-3.3965362547949	2.63652486089482	2.84738764001681	-2.82884442376007	-4.47681946765724	2.28236566666567	0.647074999987528	-8.43721296579133	2.14437273429198	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	2.51482165565058	3.15995204473292	-3.79646053142222	-10.1584293626045	2.73248846380027	-3.5579217172587	-7.43721296579133	-4.39623243357847	-8.63522588463128	3.95991478833819	-7.47136867426459	-8.55979192498625	-7.90228134235593	0.301494000072418	-3.55537533481105	1.77529500962925	-9.85475297227334	-6.67964241182779	3.92516488187519	-1.36937087220518	-1.1543774780974	-3.2095615718148
SRR5665184	-7.78786649246624	-2.76856759155203	-2.26777422312465	2.52066110636252	-0.953802328104589	1.23697624196185	-3.07777169925926	2.83672400263674	-2.62834077948456	-4.83423595493283	0.0798661809106068	-2.82884442376007	-1.68408603456326	0.670115181284294	0.22170388542459	-8.43721296579133	0.509787036630463	-6.45482236538471	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	-0.0840890793565837	0.681539220112399	-0.708726508000853	-10.1584293626045	0.899825277131039	-5.23297241257914	-5.47200887620138	-6.84559825713022	-8.63522588463128	3.08573906424146	-7.47136867426459	-2.51169066429664	-6.90228134235593	-1.67226665424466	-2.25277589301794	0.161152445967078	-9.85475297227334	5.58112283250453	3.76575855889387	-3.19112898404917	-0.0891906010400287	-7.46625726044699
SRR5665183	-6.65253843287453	-1.15479500357436	-0.983189929834188	-6.5455713940513	-6.23188767941459	2.69043050549376	-2.30087484283329	-3.4641859104273	-6.83732590051516	-1.92565898269642	5.23812802107745	-2.82884442376007	-9.10979458735361	2.35884914309269	-0.182835203537528	-8.43721296579133	2.77556682642676	-1.41573015915014	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	3.28932692489518	1.4502848516533	-9.52749143308294	-10.1584293626045	3.80709418289343	0.0788147484160331	-2.11672328210059	-6.84559825713022	-8.63522588463128	2.28642284194406	-7.47136867426459	-8.55979192498625	-7.90228134235593	-7.96578428466209	-7.7830919871459	-5.71330807052687	-9.85475297227334	-6.67964241182779	2.87372068970848	-6.86985986466355	-0.84013834847957	-7.46625726044699
SRR5665182	-6.04263510418978	-7.73005722482403	-8.41981591555679	-5.5455713940513	-4.22836791872502	2.03279204242349	-9.41488362001456	-2.031444710419	-6.83732590051516	2.6414442970043	3.90704543656659	-2.82884442376007	-9.10979458735361	3.58574134577399	-8.15020885579951	-8.43721296579133	2.13764778604103	-1.46960958238232	-7.24550581942876	-8.55979192498625	-8.38082178394093	2.41047950551311	-0.597758073894952	2.49012082270844	-9.52749143308294	-10.1584293626045	3.63936762664839	-4.96218204798189	-3.72737954533701	-6.84559825713022	-8.63522588463128	2.37972353280701	-7.47136867426459	-8.55979192498625	-7.90228134235593	-7.96578428466209	-7.7830919871459	-3.84021583288406	-3.45008444637804	-6.67964241182779	-2.79375688557776	-3.54019070700903	3.81441404285776	-7.46625726044699
SRR5665181	-7.78786649246624	-7.73005722482403	-3.84021583288406	5.97406279319944	-5.23188767941459	0.974242947644728	-9.41488362001456	0.763989386655442	-6.83732590051516	-4.83423595493283	0.823944966713682	-2.82884442376007	-4.59387698706693	1.7664764339604	-1.64119866994204	-8.43721296579133	-0.331662989433036	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-1.81248560180718	-1.01592839937408	-0.551775635925168	-1.44827236160602	-10.1584293626045	-0.111617165511578	-5.24824494127092	-6.28433501934713	-6.84559825713022	-8.63522588463128	-7.94075549017056	2.06907656531688	-0.417829409408157	-3.31918957508043	-3.65562596671427	-3.74139665673218	-0.505246477545587	-9.85475297227334	-3.27564659167545	4.07647871514598	-0.581820848689888	-2.79225704653958	-7.46625726044699
SRR5665180	-3.22904412920888	-2.07911221086052	0.887735810870676	-2.41303834791364	-6.23188767941459	3.52799987847523	-2.55088768045058	-5.70274987882829	-6.83732590051516	4.80780981452069	4.38493187500591	-2.82884442376007	-9.10979458735361	4.26048263780026	-8.15020885579951	-8.43721296579133	-0.294526300542343	-1.60796839654952	-7.24550581942876	-6.30471880485514	-2.76454251346384	-8.22593618196276	2.93959895941516	2.27722601744005	-9.52749143308294	-10.1584293626045	-4.13568110874205	-3.40277873159969	-1.09071075496676	-6.84559825713022	-8.63522588463128	-7.94075549017056	-4.4910237850853	-0.833670182079369	-7.90228134235593	-7.96578428466209	-7.7830919871459	-2.31861370638069	-2.71406519205613	-2.29003890955003	-0.331136567702713	-2.57509940461296	0.384005585579785	-7.46625726044699
SRR5665179	-6.78786649246624	-2.50438669473593	-2.08889903744218	-6.5455713940513	-6.23188767941459	2.77463738046093	-2.34982366576904	3.31644844473537	-1.80283914788771	-4.83423595493283	4.38092403854157	-2.82884442376007	-0.897597176028751	2.83510146319149	1.8113764918599	-8.43721296579133	1.59967485224253	-0.925878237262331	-7.24550581942876	-10.2697904715522	-8.38082178394093	-3.32452728593532	0.789921180681929	1.51164007963631	-0.0237096924352324	-1.52732508023861	2.89341463614525	-9.23026210736555	-1.84985629547129	-6.84559825713022	-8.63522588463128	4.79550826167023	-7.47136867426459	-1.99360861242235	-7.90228134235593	-0.464026698923423	-7.7830919871459	0.969550223762865	-9.85475297227334	-6.67964241182779	-6.56866587561951	-1.55550254724768	0.227741075839128	-7.46625726044699
SRR5665178	-7.78786649246624	-7.73005722482403	2.19482775646354	-6.5455713940513	-6.23188767941459	4.12148710170086	-9.41488362001456	-1.0526255906874	-6.83732590051516	3.62858697746819	3.33383730426957	-2.82884442376007	-9.10979458735361	-4.35078004302706	-8.15020885579951	-2.99896163333772	1.2611516630791	1.50542858365041	-7.24550581942876	-10.2697904715522	1.19511448029029	-1.66983172532761	3.08842488287351	2.82721133916298	-2.91310756035851	-1.72289601166455	2.44985450574607	-9.23026210736555	-0.220227599297426	-6.84559825713022	-8.63522588463128	4.11268762377859	-7.47136867426459	-0.0176945211119004	-7.90228134235593	-7.96578428466209	-7.7830919871459	2.2206333223678	-9.85475297227334	-6.67964241182779	-6.56866587561951	-2.87609547067973	-0.362028140048718	-7.46625726044699
