| rowname (genus)          | Table 1 coeff | Table 2 coeff | Table 1 qval | Table 2 qval |
| ------------------------ | ------------: | ------------: | -----------: | -----------: |
| Peptostreptococcus       |     -3.070512 |     -3.275303 |  9.64929e-06 |  1.71069e-08 |
| Parvimonas               |     -3.298650 |     -3.530513 |  9.64929e-06 |  6.59030e-07 |
| Odoribacter              |     -1.825425 |     -2.170595 |   0.00432475 |  0.000191891 |
| Bilophila                |     -2.455150 |     -1.588175 |  0.000246649 |   0.00115652 |
| Porphyromonas            |     -2.039544 |     -1.712969 |   0.00956145 |   0.00171637 |
| Gemella                  |     -2.091143 |     -2.164259 |   0.00148425 |   0.00299127 |
| Hungatella               |     -1.295879 |     -1.544153 |  0.000745449 |   0.00299127 |
| Family_XIII_AD3011_group |     -2.674211 |     -1.835902 |  0.000484296 |   0.00776431 |
| Anaerotruncus            |     -0.702686 |     -1.005424 |    0.0442258 |    0.0155398 |
| UCG.005                  |     -1.779639 |     -1.664775 |    0.0388214 |    0.0172840 |
| Escherichia.Shigella     |     -2.033938 |     -1.137651 |    0.0116090 |    0.0226831 |
| Limosilactobacillus      |     -2.379621 |     -1.444537 |   0.00443658 |    0.0301488 |
| Lachnospiraceae_UCG.010  |     -2.989897 |     -1.597699 |  1.77599e-05 |    0.0301488 |
| Eubacterium              |     -1.199387 |     -0.949529 |    0.0211850 |    0.0378667 |
