#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	ERR1018312	ERR1018311	ERR1018310	ERR1018309	ERR1018308	ERR1018307	ERR1018306	ERR1018305	ERR1018304	ERR1018303	ERR1018302	ERR1018301	ERR1018300	ERR1018299	ERR1018298	ERR1018297	ERR1018296	ERR1018295	ERR1018294	ERR1018293	ERR1018292	ERR1018291	ERR1018290	ERR1018289	ERR1018288	ERR1018287	ERR1018286	ERR1018285	ERR1018284	ERR1018283	ERR1018282	ERR1018281	ERR1018280	ERR1018279	ERR1018278	ERR1018277	ERR1018276	ERR1018275	ERR1018274	ERR1018273	ERR1018272	ERR1018271	ERR1018270	ERR1018269	ERR1018268	ERR1018267	ERR1018266	ERR1018265	ERR1018264	ERR1018263	ERR1018262	ERR1018261	ERR1018260	ERR1018259	ERR1018258	ERR1018257	ERR1018256	ERR1018255	ERR1018254	ERR1018253	ERR1018252	ERR1018251	ERR1018250	ERR1018249	ERR1018248	ERR1018247	ERR1018246	ERR1018245	ERR1018244	ERR1018243	ERR1018242	ERR1018241	ERR1018240	ERR1018239	ERR1018238	ERR1018237	ERR1018236	ERR1018235	ERR1018234	ERR1018233	ERR1018232	ERR1018231	ERR1018230	ERR1018229	ERR1018228	ERR1018227	ERR1018226	ERR1018225	ERR1018224	ERR1018223	ERR1018222	ERR1018221	ERR1018220	ERR1018219	ERR1018218	ERR1018217	ERR1018216	ERR1018215	ERR1018214	ERR1018213	ERR1018212	ERR1018211	ERR1018210	ERR1018209	ERR1018208	ERR1018207	ERR1018206	ERR1018205	ERR1018204	ERR1018203	ERR1018202	ERR1018201	ERR1018200	ERR1018199	ERR1018198	ERR1018197	ERR1018196	ERR1018195	ERR1018194	ERR1018193	ERR1018192	ERR1018191	ERR1018190	ERR1018189	ERR1018188	ERR1018187	ERR1018186	ERR1018185
UNKNOWN	-1.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0.0	0	0.0	0.0	0	0	0
g__Abiotrophia	46123.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00369	0	0	0	0	0	0	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00353	0	0	0	0.03919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01201	0	0	0	0	0	0	8e-05	0	0	0	0	0	0
g__Absiella	2057233.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acidaminococcus	904.0	0	0	1.53152	0	0	1.27913	0	0	1.71711	0	0	0.06594	0.00155	0	0.04954	0	0	0	1.80804	0	0	0	0	0	0	0	0	0	1.74263	0.01764	0	0	0	0	0	0	0	0	0	0	0	0.55616	0.2996	0.48963	0	0	0	0	0	0	0.02038	0	0	0	0	0	0	0	0	0	0.46389	0.00034	0.00067	0	0.13604	0.01822	0.33771	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18884	0	0.00065	0.01276	1.2001	0	0.00026	2.30815	0	0	0	0	0.27049	0	0	0	0	0.01053	2.58703	0.0003	0	0	0	0	0.01088	0	0	0.01111	0	0	0	0.00316	0	19.41266	0.00177	0	0	0	0	0	0.00977	0	0	0	0	0	0.00373	0.26236
g__Actinobaculum	76833.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00113	0	0	0	0	0	0	0	0	0	0	0	0.00063	0	0	0	0.00639	0	0	0	0	0	0	0	0	0	0	0	0	0.01109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinomyces	1654.0	0.10302	0.00107	0	0.04576	0	0.03029	0.00446	0.00668	0	0	0	0	0	0.00221	0.01196	0	0.01154	0	0.00549	0.0416	0	0	0	0.00523	0	0.01289	0.00089	0	0.01535	0.04284	0.01272	1.61889	0.00578	0.01011	0	0.01001	0	0	0	0	0	0	0.0017	0	0	0	0	0	0.01428	0.00331	0.00041	0.00468	0	0	0	0.00357	0.00337	0.00325	0.00136	0	0.0011	0.00746	0	0	0.00067	0	0	0	0.00932	9e-05	0	0	0	0	0.04544	0.00269	0	0.00541	0.01466	0.01968	0	0.00279	0	0.04247	0.0047	0	0.00128	0	0.05985	0.00124	0	0.01355	0	0.0266	0	0.00808	0.00085	0.05286	0.00078	0.44286	0.00743	0.00558	0	0.00316	0.00124	0	0.01176	0.01139	0	0.00081	0	0	0.06586	0	0.15778	0	0.02233	0.00106	0.00586	0	0.00178	0.10757	0	0.00076	0.01566	0.10478	0	0.17246
g__Adlercreutzia	447020.0	0	0.17674	0.01214	0.12617	0.1846	0.09123	0.02196	0.03557	0	0	0	0.01785	0.0198	0	0.05298	0.03097	0	0.01847	0.24762	0.00314	0	0.01926	0.06469	0	0	0	0	0	0.11971	0	0.00025	0.4676	0.03595	0	0.06919	0	0.00681	0.15118	0	0	0.00343	0	0.00154	0.00157	0.02298	0.04017	0.09676	0.00098	0	0	0.03428	0.00049	0	0.02679	0.04247	0.38327	0.02979	0.1131	0.22969	0.0365	0.12937	0	0.0009	0	0.00217	0.07674	0.02551	0.0835	0	0	0	0	0.0141	0.53591	0.27642	0	0	0.42208	0	0	0.09298	0.00873	0.02451	0.00214	0.15114	0.08714	0	0	0	0.06788	0.10208	0.09336	0.00893	0	0	0	0.00108	0.00572	0	0.00164	0.38127	0.18652	0.00147	0.06991	0.02647	0.07246	0	0	0	0.00252	0.00167	0.19629	0.00408	0	0	0.05313	0.05526	0	0.00039	0	0	0.16452	0.16916	0.0117	0.15313	0.00073	0	0.18895
g__Aeriscardovia	240233.0	0	0	0	0	0	0.00138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00119	0	0	0.00218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.00188	0	0.00299	0	0.00186	0.00599	0.0025	0	0	0	0	0	0	0	0	0.00175	0	0	0	0.00492	0.00071	0	0	0	0	0	0	0	0	0.00622	0	0	0	0	0	0	0	0	0	0	0	0.00115	0.00368	0.00123	0	0.00115	0.03234	0.01098	0	0	0	0	0	0.01316	0	0	0	0	0	0	0	0.01827	0	0.00246	0	0	0.00253	0	0	0.00365	0	0.00748	0	0
g__Aeromonas	642.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00426	0	0	0	0	0	0	0	0	0
g__Agathobaculum	2048137.0	1.07227	1.69074	0.09017	0.95695	4.11494	1.34531	0.52236	0.40001	0.04985	1.12847	0.55098	0.0487	0.14146	0	0.0025	0.26267	0.12613	0.24052	0.01718	0	0	0.12878	0.16496	0.07127	0.01464	2.5851	0.16488	0.07872	0.28707	0.93143	0.32326	0.00415	1.93421	0.0024	0.39555	1.79779	0.07885	0.08505	0.0553	0.37454	0.08852	0.1885	0.28103	0.42527	0.02779	0.18639	0.2237	0.09181	1.02182	1.29615	0.06613	1.48489	0.03078	0.47694	0.24294	0.34745	0.4836	0.10967	0.49775	0.23762	0.36844	0.03843	3.43808	0.09308	0.39358	0.21088	0.53318	0.32003	0.0721	0.0001	1.03126	0	1.79861	0.05968	1.26517	0.16727	0.11888	0.07243	0.02351	0.66137	0.57374	0.01747	0.02414	1.48067	0.60399	0.23942	0.17974	0.06045	0.04278	0.03868	0.02289	0.08758	0.61617	0.50485	0.14234	0.68009	0.29849	3.75487	0.03644	1.77012	0.00313	0.41581	0	0.27186	0.05339	0.04922	0.41153	0.12079	0	0.10154	0.0483	0.74374	3.83038	0.53912	1.108	0.18317	0.07533	0.31344	0.15053	0.0398	0	0.30319	0.78329	0	3.05137	0.11559	0.38061	0.27263
