"ERR3928931" "ERR3928933" "ERR3928934" "ERR3928935" "ERR3928936" "ERR3928937" "ERR3928938" "ERR3928939" "ERR3928940" "ERR3928941" "ERR3928942" "ERR3928943" "ERR3928944" "ERR3928945" "ERR3928946" "ERR3928947" "ERR3928948" "ERR3928949" "ERR3928950" "ERR3928951" "ERR3928952" "ERR3928953" "ERR3928954" "ERR3928955" "ERR3928956" "ERR3928957" "ERR3928958" "ERR3928959" "ERR3928960" "ERR3928961" "ERR3928962" "ERR3928963" "ERR3928964" "ERR3928965" "ERR3928966" "ERR3928967" "ERR3928968" "ERR3928969" "ERR3928970" "ERR3928971" "ERR3928972" "ERR3928973" "ERR3928974" "ERR3928975" "ERR3928976" "ERR3928977" "ERR3928978" "ERR3928979" "ERR3928980" "ERR3928981" "ERR3928982" "ERR3929033" "ERR3929034" "ERR3929035" "ERR3929036" "ERR3929037" "ERR3929038" "ERR3929039" "ERR3929040" "ERR3929041" "ERR3929042" "ERR3929043" "ERR3929044" "ERR3929045" "ERR3929046" "ERR3929047" "ERR3929048" "ERR3929049" "ERR3929050" "ERR3929051" "ERR3929052" "ERR3929053" "ERR3929054" "ERR3929055" "ERR3929056" "ERR3929057" "ERR3929058" "ERR3929059" "ERR3929060" "ERR3929061" "ERR3929062" "ERR3929063" "ERR3929064" "ERR3929065" "ERR3929066" "ERR3929067" "ERR3929068" "ERR3929069" "ERR3929070" "ERR3929071" "ERR3929072" "ERR3929073" "ERR3929074" "ERR3929075" "ERR3929076" "ERR3929077" "ERR3929078" "ERR3929079" "ERR3929080" "ERR3929081" "ERR3929082" "ERR3929083" "ERR3929084" "ERR3929085" "ERR3928932"
"Pirellula" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Methanomassiliicoccus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Candidatus_Methanomethylophilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Candidatus_Methanogranum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 305 0 0 0 0 0 0 0 437 543 142 124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Methanosphaera" 0 0 0 0 0 0 0 0 0 0 0 129 0 0 0 0 0 0 0 181 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 37 0 47 0 0 0 0 0 0 0 0 0 0 14 38 0 0 0 207 0 0 0 0 0 0 41 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Methanobrevibacter" 0 3 0 729 1113 0 0 0 115 0 0 146 0 0 31 42 0 0 0 368 2 0 3 0 7 48 109 0 0 6 54 0 0 0 25 17 0 0 20 0 28 3 0 211 94 8 0 6 2 0 0 0 0 9 0 0 0 0 31 73 0 0 0 66 0 25 0 0 0 0 0 0 0 0 0 0 67 12 0 0 0 686 4 4 577 452 0 0 112 30 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"Prosthecobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Luteolibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Akkermansia" 29 30 22 5268 2595 22 23 16655 21 19 6124 401 24 20 31 0 34 33 46 13 32 2060 24 27 29 367 0 1313 86 28 1150 28 46575 1259 228 208 624 87 1887 40 197 90 107 2176 3116 4812 65 57 16 19 265 14 54 16 164 18 26 18 115 295 16 9 19 1772 10 25 22 23 26 477 39 27 17 27 23 0 22 8018 17 16 26 16520 16 23 19 22 33 10 30 20 31 15 37 20 22 21 29 0 31 37 24 31 31 36 27
"DEV114" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
